sample_id,terminology,sx_en,obj_id,mapType,confidence,rater1_acceptable,rater1_mapType,rater2_acceptable,rater2_mapType,rater3_acceptable,rater3_mapType
S0065,HPO,Abnormally low-pitched voice,HP:0010300,close,inherited,0,related,0,close,1,close
S0066,HPO,sunken anterior fontanelle,HP:0000237,close,High,1,close,1,close,1,close
S0067,HPO,Chills,HP:0025143,close,inherited,0,close,1,close,0,close
S0068,HPO,Shoulder pain,HP:0030834,close,inherited,0,related,1,close,1,close
S0069,HPO,limb weakness,HP:0003690,close,High,0,close,1,close,1,close
S0070,HPO,premature closure of fontanelle,HP:0000270,close,High,1,close,1,close,1,close
S0071,HPO,visual hallucination,HP:5200215,close,High,1,close,0,close,1,close
S0072,HPO,Red nodule,HP:0034819,close,Medium,1,close,0,close,1,close
S0073,HPO,withered nasal tip,HP:0005278,close,Medium,0,close,1,close,1,close
S0074,HPO,Delirium,HP:0031258,close,inherited,1,close,0,close,1,close
S0075,HPO,delayed closure of fontanelle,HP:0001476,close,High,1,close,1,close,1,close
S0076,HPO,swollen gum margin,HP:0031244,close,Medium,0,related,1,close,0,close
S0077,HPO,sallow-yellow skin,HP:0000952,close,High,1,close,1,close,1,close
S0078,HPO,painful neck nodules,HP:0030833,close,Medium,1,close,0,close,0,related
S0079,HPO,Pale finger,HP:0000980,close,High,1,close,1,close,1,close
S0080,HPO,Vertigo,HP:0002321,exact,inherited,1,exact,1,exact,1,exact
S0081,HPO,Abnormal tongue physiology,HP:0030810,exact,inherited,1,exact,1,exact,1,exact
S0082,HPO,Abdominal pain,HP:0002027,exact,inherited,1,exact,1,exact,1,exact
S0083,HPO,thick neck,HP:0000475,exact,High,1,exact,1,exact,1,exact
S0084,HPO,Red hair,HP:0002297,exact,High,1,exact,1,exact,1,exact
S0085,HPO,Chills,HP:0025143,exact,inherited,1,exact,1,exact,1,exact
S0086,HPO,Recurrent singultus,HP:0100247,exact,inherited,1,exact,1,exact,1,exact
S0087,HPO,immobile mass,HP:0025760,exact,High,1,exact,1,exact,1,exact
S0088,HPO,Edema,HP:0000969,exact,inherited,1,exact,1,exact,1,exact
S0089,HPO,Aphthous ulcer,HP:0032154,exact,inherited,1,exact,1,exact,1,exact
S0090,HPO,difficulty swallowing,HP:0002015,exact,High,1,exact,1,exact,1,exact
S0091,HPO,watery stool,HP:0002014,exact,High,1,exact,1,exact,1,exact
S0092,HPO,Pruritus,HP:0000989,exact,inherited,1,exact,1,exact,1,exact
S0093,HPO,Angina pectoris,HP:0001681,exact,inherited,1,exact,1,exact,1,exact
S0094,HPO,Anal pain,HP:0500005,exact,inherited,1,exact,1,exact,1,exact
S0095,HPO,Hypogeusia,HP:0000224,exact,inherited,1,exact,1,exact,1,exact
S0096,HPO,Skin ulcer,HP:0200042,exact,inherited,1,exact,1,exact,1,exact
S0097,HPO,Reflex tearing,HP:0031733,exact,inherited,1,exact,1,exact,1,exact
S0098,HPO,Back pain,HP:0003418,exact,inherited,1,exact,1,exact,1,exact
S0099,HPO,curly hair,HP:0002212,exact,High,1,exact,1,exact,1,exact
S0100,HPO,Neck pain,HP:0030833,exact,inherited,1,exact,1,exact,1,exact
S0101,HPO,Fever,HP:0001945,exact,inherited,1,exact,1,exact,1,exact
S0102,HPO,Premature ejaculation,HP:0012876,exact,inherited,1,exact,1,exact,1,exact
S0103,HPO,Abdominal symptom,HP:0011458,exact,inherited,1,exact,1,exact,1,exact
S0104,HPO,Sneeze,HP:0025095,exact,inherited,1,exact,1,exact,1,exact
S0105,HPO,pursed lips,HP:0000205,exact,High,1,exact,1,exact,1,exact
S0106,HPO,premature closure of fontanelle,HP:0005458,exact,High,1,exact,1,exact,1,exact
S0107,HPO,nosebleed,HP:0000421,exact,High,1,exact,1,exact,1,exact
S0108,HPO,vaginal discharge of five intermingled colors,HP:0031470,exact,Medium,1,exact,1,exact,1,exact
S0109,HPO,Tachypnea,HP:0002789,exact,inherited,1,exact,1,exact,1,exact
S0110,HPO,restless sleep,HP:0025199,exact,High,1,exact,1,exact,1,exact
S0111,HPO,Body ache,HP:0033047,exact,inherited,1,exact,1,exact,1,exact
S0112,HPO,mild fever,HP:0011134,exact,High,1,exact,1,exact,1,exact
S0113,HPO,Spasticity,HP:0001257,exact,inherited,1,exact,1,exact,1,exact
S0114,HPO,Chills,HP:0025143,exact,inherited,1,exact,1,exact,1,exact
S0115,HPO,Abnormality of the nose,HP:0000366,exact,inherited,1,exact,1,exact,1,exact
S0116,HPO,premature menopause,HP:0008209,exact,High,1,exact,1,exact,1,exact
S0117,HPO,Cough,HP:0012735,exact,inherited,1,exact,1,exact,1,exact
S0118,HPO,Ocular pain,HP:0200026,exact,inherited,1,exact,1,exact,1,exact
S0119,HPO,Pain,HP:0003326,exact,inherited,1,exact,1,exact,1,exact
S0120,SNOMEDCT,Hyposmia,SNOMEDCT:83156004,exact,High,1,exact,1,exact,1,exact
S0121,SNOMEDCT,visual hallucination,SNOMEDCT:64269007,exact,High,1,exact,1,exact,1,exact
S0122,SNOMEDCT,Constipation,SNOMEDCT:225595004,exact,High,1,exact,1,exact,1,exact
S0123,SNOMEDCT,high-pitched voice,SNOMEDCT:51406002,exact,High,1,exact,1,exact,1,exact
S0124,SNOMEDCT,teeth grinding (bruxism),SNOMEDCT:191983006,exact,High,1,exact,1,exact,1,exact
S0125,SNOMEDCT,Neck pain,SNOMEDCT:81680005,exact,inherited,1,exact,1,exact,1,exact
S0126,SNOMEDCT,Skin ulcer,SNOMEDCT:46742003,exact,inherited,1,exact,1,exact,1,exact
S0127,SNOMEDCT,Depression,SNOMEDCT:210610001191,exact,High,1,exact,1,exact,1,exact
S0128,SNOMEDCT,disturbed color vision,SNOMEDCT:23289000,exact,High,1,exact,1,exact,1,exact
S0129,SNOMEDCT,Lethargy,SNOMEDCT:214264003,exact,High,1,exact,1,exact,1,exact
S0130,SNOMEDCT,Hematochezia,SNOMEDCT:405737000,exact,inherited,1,exact,1,exact,1,exact
S0131,SNOMEDCT,Yellow discoloration of the skin,SNOMEDCT:18165001,exact,High,1,exact,1,exact,1,exact
S0132,SNOMEDCT,Pectus carinatum,SNOMEDCT:205101001,exact,High,1,exact,1,exact,1,exact
S0133,SNOMEDCT,dizziness,SNOMEDCT:399090003,exact,High,1,exact,1,exact,1,exact
S0134,SNOMEDCT,Abnormality of the face,SNOMEDCT:398302004,exact,High,1,exact,1,exact,1,exact
S0135,SNOMEDCT,Pustule,SNOMEDCT:103605005,exact,High,1,exact,1,exact,1,exact
S0136,SNOMEDCT,Cephalohematoma,SNOMEDCT:83095000,exact,High,1,exact,1,exact,1,exact
S0137,SNOMEDCT,Drowsiness,SNOMEDCT:79519003,exact,High,1,exact,1,exact,1,exact
S0138,SNOMEDCT,Papule,SNOMEDCT:443871003,exact,High,1,exact,1,exact,1,exact
S0139,SNOMEDCT,Low-grade fever,SNOMEDCT:304213008,exact,High,1,exact,1,exact,1,exact
S0140,SNOMEDCT,Abnormality of the nose,SNOMEDCT:128274005,exact,High,1,exact,1,exact,1,exact
S0141,SNOMEDCT,diplopia,SNOMEDCT:24982008,exact,High,1,exact,1,exact,1,exact
S0142,SNOMEDCT,Hyperpigmentation of the skin,SNOMEDCT:4830009,exact,High,1,exact,1,exact,1,exact
S0143,SNOMEDCT,nosebleed,SNOMEDCT:12441001,exact,High,1,exact,1,exact,1,exact
S0144,SNOMEDCT,Abnormal joint morphology,SNOMEDCT:399269003,exact,High,1,exact,1,exact,1,exact
S0145,SNOMEDCT,Hematuria,SNOMEDCT:34436003,exact,inherited,1,exact,1,exact,1,exact
S0146,SNOMEDCT,Hypoventilation,SNOMEDCT:31515003,exact,High,1,exact,1,exact,1,exact
S0147,SNOMEDCT,dry lips,SNOMEDCT:238751002,exact,High,1,exact,1,exact,1,exact
S0148,SNOMEDCT,Upper limb pain,SNOMEDCT:102556003,exact,High,1,exact,1,exact,1,exact
S0149,SNOMEDCT,Frequent urination,SNOMEDCT:11829000,exact,inherited,1,exact,1,exact,1,exact
S0150,SNOMEDCT,exophthalmos,SNOMEDCT:18265008,exact,High,1,exact,1,exact,1,exact
S0151,SNOMEDCT,Angina pectoris,SNOMEDCT:194828000,exact,High,1,exact,1,exact,1,exact
S0152,SNOMEDCT,Vertigo,SNOMEDCT:399153001,exact,inherited,1,exact,1,exact,1,exact
S0153,SNOMEDCT,Lethargy,SNOMEDCT:79519003,exact,High,1,exact,1,exact,1,exact
S0154,SNOMEDCT,difficulty swallowing,SNOMEDCT:288939007,exact,High,1,exact,1,exact,1,exact
S0155,SNOMEDCT,Depression,SNOMEDCT:35489007,exact,High,1,exact,1,exact,1,exact
S0156,SNOMEDCT,Genu valgum,SNOMEDCT:299330008,exact,High,1,exact,1,exact,1,exact
S0157,SNOMEDCT,Malignant hyperthermia,SNOMEDCT:405501007,exact,High,1,exact,1,exact,1,exact
S0158,SNOMEDCT,Diarrhea,SNOMEDCT:62315008,exact,High,1,exact,1,exact,1,exact
S0159,SNOMEDCT,Hypopigmentation of the skin,SNOMEDCT:18655006,exact,High,1,exact,1,exact,1,exact
S0160,SNOMEDCT,teeth grinding (bruxism),SNOMEDCT:90207007,exact,High,1,exact,1,exact,1,exact
S0161,SNOMEDCT,Hyperemesis gravidarum,SNOMEDCT:1696002,exact,inherited,1,exact,1,exact,1,exact
S0162,SNOMEDCT,Stridor,SNOMEDCT:70407001,exact,High,1,exact,1,exact,1,exact
S0163,SNOMEDCT,Slight black tip-of-nose,SNOMEDCT:249331008,close,Medium,1,close,1,close,0,close
S0164,SNOMEDCT,foam in urine,SNOMEDCT:68600005,close,Medium,0,close,1,close,1,close
S0165,SNOMEDCT,Red tip-of-nose,SNOMEDCT:249331008,close,High,1,close,1,close,0,close
S0166,SNOMEDCT,Wheals during menstruation,SNOMEDCT:386692008,close,Medium,0,close,1,close,1,close
S0167,SNOMEDCT,dry atrophic pharyngeal mucosa,SNOMEDCT:2129002,close,Medium,1,close,0,close,0,close
S0168,SNOMEDCT,Upper limb pain,SNOMEDCT:90834002,close,High,1,close,1,close,0,close
S0169,SNOMEDCT,Teeth falling off,SNOMEDCT:42756003,close,Medium,0,close,0,close,1,close
S0170,SNOMEDCT,Red tip-of-nose,SNOMEDCT:249331008,close,High,1,close,1,close,0,close
S0171,SNOMEDCT,open mouth (inability to close),SNOMEDCT:262016004,close,High,0,close,1,close,1,close
S0172,SNOMEDCT,orange-yellow skin,SNOMEDCT:18165001,close,High,1,close,1,close,1,close
S0173,SNOMEDCT,intermittent nasal obstruction,SNOMEDCT:232209000,close,High,1,close,1,close,1,close
S0174,SNOMEDCT,premature closure of fontanelle,SNOMEDCT:82779003,close,High,1,close,1,close,1,close
S0175,SNOMEDCT,Skin hyperesthesia,SNOMEDCT:14151009,close,High,1,close,1,close,1,close
S0176,SNOMEDCT,Migraine,SNOMEDCT:56097005,close,High,0,close,1,close,1,close
S0177,SNOMEDCT,Scoliosis,SNOMEDCT:203645000,close,High,1,close,0,close,1,close
S0178,SNOMEDCT,negative transillumination of scrotum,SNOMEDCT:236780002,close,Medium,0,related,0,close,1,close
S0179,SNOMEDCT,Genu varum,SNOMEDCT:299330008,close,High,0,related,1,close,1,close
S0180,SNOMEDCT,loss of eyebrows,SNOMEDCT:422441003,close,Medium,0,related,1,close,1,close
S0181,SNOMEDCT,abdominal pain during pregnancy,SNOMEDCT:21522001,close,High,1,close,1,close,1,close
S0182,SNOMEDCT,Oral lichenoid lesion,SNOMEDCT:16331000,close,inherited,0,related,0,close,0,close
S0183,SNOMEDCT,fine rash,SNOMEDCT:271807003,close,High,1,close,1,close,1,close
S0184,SNOMEDCT,generalized headache,SNOMEDCT:25064002,close,Medium,1,close,1,close,1,close
S0185,SNOMEDCT,urgent urination,SNOMEDCT:75088002,close,Medium,1,close,0,close,0,close
S0186,SNOMEDCT,drum-like abdominal distension,SNOMEDCT:60728008,close,High,1,close,1,close,1,close
S0187,SNOMEDCT,low back pain radiating to the foot,SNOMEDCT:279039007,close,High,1,close,1,close,1,close
S0188,SNOMEDCT,Abnormal involuntary movements of limbs,SNOMEDCT:445144002,close,High,0,close,1,close,1,close
S0189,SNOMEDCT,scaling rash,SNOMEDCT:112625008,close,High,1,close,1,close,1,close
S0190,SNOMEDCT,hot tearing,SNOMEDCT:418035005,close,High,1,close,1,close,1,close
S0191,SNOMEDCT,Abnormally low-pitched voice,SNOMEDCT:51406002,close,High,1,close,1,close,1,close
S0192,SNOMEDCT,Purple red macule,SNOMEDCT:112629002,close,Medium,1,close,1,close,0,close
S0193,SNOMEDCT,ear abscess,SNOMEDCT:299709002,close,Medium,1,close,1,close,1,close
S0194,SNOMEDCT,profuse sweating after childbirth,SNOMEDCT:415690000,close,High,1,close,1,close,1,close
S0195,SNOMEDCT,postprandial drowsiness,SNOMEDCT:79519003,close,Medium,0,close,1,close,1,close
S0196,SNOMEDCT,red pharynx,SNOMEDCT:126685009,close,Medium,1,close,1,close,1,close
S0197,SNOMEDCT,left anterior chest pain,SNOMEDCT:194828000,close,High,0,related,1,close,1,close
S0198,SNOMEDCT,Periorbital fullness,SNOMEDCT:700339006,close,High,1,close,1,close,1,close
S0199,SNOMEDCT,red nasal tip,SNOMEDCT:249331008,close,High,1,close,1,close,1,close
S0200,SNOMEDCT,Enlarged (puffy) tongue,SNOMEDCT:25273001,close,Medium,0,close,1,close,1,close
S0201,SNOMEDCT,jetting bleeding from the tumor sore,SNOMEDCT:417244000,close,Medium,1,close,0,close,1,close
S0202,SNOMEDCT,ear itching,SNOMEDCT:418290006,close,High,1,close,1,close,1,close
S0203,SNOMEDCT,Vomiting,SNOMEDCT:16932000,close,High,1,close,1,close,1,close
S0204,SNOMEDCT,Watery diarrhea,SNOMEDCT:267060006,close,High,0,close,0,close,0,close
S0205,SNOMEDCT,Skin purpura,SNOMEDCT:423902002,close,High,1,close,1,close,1,close
S0206,SNOMEDCT,Tetraparesis,SNOMEDCT:298282001,close,High,1,close,1,close,1,close
S0207,SNOMEDCT,generalized weakness,SNOMEDCT:249945007,close,Medium,0,related,1,close,0,close
S0208,SNOMEDCT,Skin scale,SNOMEDCT:14411002,close,High,1,close,1,close,1,close
S0209,SNOMEDCT,Heloma,SNOMEDCT:22066006,close,Medium,1,close,1,close,1,close
S0210,SNOMEDCT,pus discharge from the lacrimal punctum,SNOMEDCT:204208005,close,Medium,1,close,1,close,1,close
S0211,SNOMEDCT,deviated pupil,SNOMEDCT:37125009,close,Medium,1,close,1,close,0,related
S0212,SNOMEDCT,Yellow discoloration of the skin,SNOMEDCT:3415004,close,High,1,close,1,close,1,close
S0213,SNOMEDCT,Teeth falling off,SNOMEDCT:234974002,close,Medium,1,close,1,close,0,close
S0214,SNOMEDCT,Skin scale,SNOMEDCT:271767006,close,High,1,close,1,close,1,close
S0215,SNOMEDCT,inability to close the eyelid (lagophthalmos),SNOMEDCT:417740005,close,High,1,close,1,close,1,close
S0216,SNOMEDCT,audible teeth grinding,SNOMEDCT:191983006,close,High,1,close,1,close,0,close
S0217,SNOMEDCT,Lip fissure,SNOMEDCT:253983005,close,Medium,0,close,1,close,1,close
S0218,SNOMEDCT,rib pain,SNOMEDCT:247355005,close,Medium,1,close,1,close,1,close
S0219,SNOMEDCT,Rose-red macule,SNOMEDCT:112629002,close,Medium,1,close,1,close,1,close
S0220,SNOMEDCT,loss of eyebrows,SNOMEDCT:253208007,close,Medium,1,close,1,close,1,close
S0221,SNOMEDCT,ear abscess,SNOMEDCT:27916005,close,Medium,0,related,1,close,1,close
S0222,SNOMEDCT,manic confusion,SNOMEDCT:286933003,close,High,1,close,1,close,1,close
S0223,SNOMEDCT,foot swelling,SNOMEDCT:271771009,close,Medium,0,related,1,close,1,close
S0224,SNOMEDCT,enlarged tonsil,SNOMEDCT:46689006,close,High,1,close,1,close,1,close
S0225,SNOMEDCT,blood clots in urine,SNOMEDCT:34436003,close,High,1,close,1,close,1,close
S0226,SNOMEDCT,eroded teeth,SNOMEDCT:699222000,close,Medium,1,close,1,close,1,close
S0227,SNOMEDCT,earthworm-like vessels of spermatic cord (varicocele),SNOMEDCT:81996005,close,Medium,0,related,1,close,0,close
S0228,SNOMEDCT,incessant chronic diarrhea,SNOMEDCT:236071009,close,High,1,close,1,close,1,close
S0229,SNOMEDCT,hip abscess,SNOMEDCT:82127005,close,Medium,1,close,1,close,1,close
S0230,SNOMEDCT,arm abscess,SNOMEDCT:82127005,close,Medium,0,close,1,close,0,close
S0231,SNOMEDCT,Depressed nasal bridge,SNOMEDCT:249321001,close,High,1,close,1,close,1,close
S0232,SNOMEDCT,Angina pectoris,SNOMEDCT:9991008,close,High,1,close,1,close,0,related
S0233,SNOMEDCT,Stridor,SNOMEDCT:58596002,close,High,1,close,1,close,1,close
S0234,SNOMEDCT,Skin purpura,SNOMEDCT:387778001,close,High,0,related,1,close,1,close
S0235,SNOMEDCT,lumbosacral pain,SNOMEDCT:247355005,close,Medium,0,close,1,close,0,close
S0236,SNOMEDCT,Joint enlargement,SNOMEDCT:271771009,close,Medium,0,related,0,close,0,close
S0237,ICD11,Joint enlargement,ICD11:SN08,close,Medium,1,close,1,close,1,close
S0238,ICD11,Abnormal involuntary movements of limbs,ICD11:MB46.Z,close,High,1,close,1,close,1,close
S0239,ICD11,Pallor,ICD11:MC16,close,High,1,close,0,close,1,close
S0240,ICD11,Ptosis,ICD11:SK6L,close,Medium,0,close,1,close,0,close
S0241,ICD11,alternating chills and fever at regular intervals,ICD11:SD93,close,High,1,close,1,close,1,close
S0242,ICD11,Black thenar-eminence vessels and collaterals,ICD11:XA2JN4,close,High,1,close,1,close,1,close
S0243,ICD11,puffy superficial sore swelling,ICD11:XK7F,close,High,1,close,1,close,1,close
S0244,ICD11,Alopecia,ICD11:SN90,close,High,1,close,1,close,1,close
S0245,ICD11,Macule nail,ICD11:ED61.11,close,High,1,close,1,close,1,close
S0246,ICD11,Dark red finger,ICD11:MC15,close,Medium,1,close,0,close,1,close
S0247,ICD11,separation of cranial sutures,ICD11:KD31,close,Medium,1,close,0,close,1,close
S0248,ICD11,burning hot skin,ICD11:XE7PM,close,High,0,close,1,close,1,close
S0249,ICD11,Nail-bed swelling,ICD11:XA6Q52,close,Medium,0,related,0,close,1,close
S0250,ICD11,Spider angioma,ICD11:XE75L,close,High,1,close,1,close,1,close
S0251,ICD11,damp umbilicus,ICD11:XA3MT8,close,High,1,close,1,close,1,close
S0252,ICD11,yellow urine,ICD11:SF9G,close,Medium,1,close,1,close,1,close
S0253,ICD11,pale nail bed,ICD11:XA65U3,close,Medium,0,close,1,close,1,close
S0254,ICD11,Cherry-red lip,ICD11:XM0885,close,High,1,close,1,close,1,close
S0255,ICD11,Spermatic-cord thickening,ICD11:XA5KK7,close,Medium,1,close,1,close,1,close
S0256,ICD11,mental fatigue,ICD11:MG22,close,High,1,close,1,close,1,close
S0257,ICD11,ear abscess,ICD11:AA00,close,High,1,close,1,close,1,close
S0258,ICD11,umbilical swelling,ICD11:XA3L42,close,Medium,0,close,0,close,1,close
S0259,ICD11,decreased pain sensation of sore surface,ICD11:VV12,close,High,1,close,1,close,1,close
S0260,ICD11,Red tip-of-nose,ICD11:XA3057,close,Medium,1,close,1,close,1,close
S0261,ICD11,red skin of burn,ICD11:XA66R9,close,Medium,0,related,0,close,1,close
S0262,ICD11,Black scar,ICD11:XM2WE8,close,Medium,0,related,0,close,1,close
S0263,ICD11,floral corneal growth,ICD11:9A78.0,close,Medium,0,close,1,close,1,close
S0264,ICD11,bright-red anal prolapse,ICD11:DB53,close,High,1,close,1,close,0,close
S0265,ICD11,Bluish philtrum,ICD11:SF01,close,High,0,close,1,close,1,close
S0266,ICD11,curly hair,ICD11:ED73.0,close,Medium,1,close,1,close,1,close
S0267,ICD11,With raised prickles tongue,ICD11:DA03.1,close,Medium,1,close,0,close,1,close
S0268,ICD11,pork-liver-dark tongue,ICD11:XE9BL,close,Medium,0,close,0,close,1,close
S0269,ICD11,Shifting pain,ICD11:SE91,close,Medium,0,close,1,close,0,close
S0270,ICD11,scrotal ulceration,ICD11:MF40.20,close,Medium,1,close,1,close,0,close
S0271,ICD11,epigastric distension,ICD11:SA52,close,High,0,related,1,close,1,close
S0272,ICD11,Distending pain,ICD11:SF57,close,Medium,1,close,1,close,1,close
S0273,ICD11,steaming-bone fever,ICD11:1C33,close,Medium,1,close,1,close,0,related
S0274,ICD11,clumped eye discharge,ICD11:MC14,close,High,1,close,1,close,1,close
S0275,ICD11,Light red rash,ICD11:ME66.6Z,close,Medium,0,close,0,close,0,close
S0276,ICD11,Periorbital fullness,ICD11:SF77,close,Medium,0,close,1,close,1,close
S0277,ICD11,Pharyngeal itching,ICD11:XA5Q86,close,Medium,0,close,0,close,1,close
S0278,ICD11,red lips,ICD11:SE72,close,Medium,1,close,1,close,0,close
S0279,ICD11,Dysphagia,ICD11:SA50,close,High,1,close,1,close,1,close
S0280,ICD11,Skin shininess,ICD11:SF01,close,Medium,0,close,1,close,1,close
S0281,ICD11,annular skin tag,ICD11:ME62.8,close,High,1,close,1,close,1,close
S0282,ICD11,withered shrunken blisters,ICD11:ME66.6Z,close,Medium,1,close,1,close,1,close
S0283,ICD11,Pharyngeal itching,ICD11:XA9LV7,close,Medium,0,close,1,close,0,close
S0284,ICD11,Onycholysis of fingernails,ICD11:XA0EH9,close,Medium,0,related,1,close,0,close
S0285,ICD11,bean-curd-dreg-like vaginal discharge,ICD11:MC14,close,High,1,close,1,close,1,close
S0286,ICD11,dusky-black gums,ICD11:XM08L6,close,Medium,0,close,1,close,1,close
S0287,ICD11,Blindness,ICD11:SK63,close,High,1,close,1,close,1,close
S0288,ICD11,collapsed nasal columella,ICD11:XA8817,close,Medium,0,related,1,close,1,close
S0289,ICD11,Migraine,ICD11:SK01,close,High,0,close,1,close,1,close
S0290,ICD11,sour-smelling stool,ICD11:SF9G,close,Medium,1,close,1,close,0,close
S0291,ICD11,Severe pain,ICD11:XS25,close,High,1,close,0,close,1,close
S0292,ICD11,uvula abscess (xuanyong),ICD11:XA2993,close,Medium,0,close,1,close,1,close
S0293,ICD11,Muscle cramp,ICD11:NF06.3,close,High,1,close,1,close,1,close
S0294,ICD11,forceful vomiting sound,ICD11:MD90.1,close,Medium,1,close,1,close,0,close
