symptom_localname,symptom_zh,symptom_en,hpo_id,hpo_term,mapType
sx_手足瘙痒,手足瘙痒,itching of hands and feet,HP:0200113,,close
sx_手足瘙痒,手足瘙痒,itching of hands and feet,HP:0007414,,close
sx_手足瘙痒,手足瘙痒,itching of hands and feet,HP:0007517,,close
sx_咽肿,咽肿,pharyngeal swelling,HP:0011855,,close
sx_烧伤起泡,烧伤起泡,burn blistering,HP:0012221,,close
sx_烧伤起泡,烧伤起泡,burn blistering,HP:0007446,,close
sx_头痛,头痛,Headache,HP:0002315,,exact
sx_舌肿胀,舌肿胀,Abnormal tongue morphology,HP:0030809,,close
sx_膝软无力,膝软无力,Fatigable weakness,HP:0003473,,exact
sx_鳞屑色黄,鳞屑色黄,Yellow scale,HP:0032106,,close
sx_鼻头枯稿,鼻头枯稿,withered nasal tip,HP:0000455,,close
sx_鼻头枯稿,鼻头枯稿,withered nasal tip,HP:0005278,,close
sx_幻臭,幻臭,olfactory hallucination,HP:5200200,,exact
sx_甲床淡白,甲床淡白,pale nail bed,HP:0001232,,close
sx_小腹包块,小腹包块,lower abdominal mass,HP:0031500,,close
sx_小腹包块,小腹包块,lower abdominal mass,HP:6001311,,close
sx_小腹包块,小腹包块,lower abdominal mass,HP:6001312,,close
sx_水疱大小相似,水疱大小相似,blisters of similar size,HP:0008066,,close
sx_小腹痛,小腹痛,Abdominal pain,HP:0002027,,exact
sx_四肢沉重,四肢沉重,heaviness of limbs,HP:0040064,,close
sx_口唇色赤,口唇色赤,red lips,HP:0012472,,close
sx_口唇色赤,口唇色赤,red lips,HP:0100788,,close
sx_早泄,早泄,Premature ejaculation,HP:0012876,,exact
sx_口张,口张,open mouth (inability to close),HP:0000194,,exact
sx_口张,口张,open mouth (inability to close),HP:0200096,,close
sx_皮肤色黄如橘,皮肤色黄如橘,orange-yellow skin,HP:0000952,,close
sx_下肢青脉显露,下肢青脉显露,prominent blue vessels of lower limbs,HP:0000179,,close
sx_下肢青脉显露,下肢青脉显露,prominent blue vessels of lower limbs,HP:0000303,,close
sx_便稀如水,便稀如水,watery stool,HP:0002014,,exact
sx_视远物不清,视远物不清,blurred distant vision,HP:0000622,,close
sx_颅缝开解,颅缝开解,separation of cranial sutures,HP:0010537,,close
sx_颅缝开解,颅缝开解,separation of cranial sutures,HP:0011329,,close
sx_尿短黄,尿短黄,scanty dark-yellow urine,HP:0040321,,close
sx_便血,便血,Hematochezia,HP:0002573,,exact
sx_喷嚏,喷嚏,Sneeze,HP:0025095,,exact
sx_腹中包块推之不移,腹中包块推之不移,immobile abdominal mass,HP:0031500,,close
sx_睑板色淡,睑板色淡,Pale tarsal-plate,HP:0025553,,close
sx_皮肤萎黄,皮肤萎黄,sallow-yellow skin,HP:0000952,,close
sx_结节色红,结节色红,Red nodule,HP:0032217,,close
sx_结节色红,结节色红,Red nodule,HP:0034819,,close
sx_活动疼痛加剧,活动疼痛加剧,pain aggravated by movement,HP:0025286,,close
sx_尿少,尿少,oliguria,HP:0100520,,exact
sx_水疱周围红晕,水疱周围红晕,red halo around blisters,HP:0008066,,close
sx_肩痛,肩痛,Shoulder pain,HP:0030834,,close
sx_手足心热,手足心热,Fever,HP:0001945,,close
sx_阴茎粗长,阴茎粗长,thickened and elongated penis,HP:0000040,,close
sx_乳蛾肿大,乳蛾肿大,enlarged tonsil,HP:0030812,,close
sx_哮鸣,哮鸣,Wheezing,HP:0030828,,exact
sx_哮鸣,哮鸣,Wheezing,HP:0030831,,close
sx_颈项强直,颈项强直,neck stiffness,HP:0025258,,exact
sx_脐腹痛,脐腹痛,periumbilical pain,HP:0034854,,close
sx_脐腹痛,脐腹痛,periumbilical pain,HP:0002027,,close
sx_肛门痛,肛门痛,Anal pain,HP:0500005,,exact
sx_皮疹细小,皮疹细小,fine rash,HP:0000988,,close
sx_小儿咬爪甲,小儿咬爪甲,nail biting in children,HP:0012170,,close
sx_眼花,眼花,blurred vision (eye dazzle),HP:0000622,,exact
sx_眼花,眼花,blurred vision (eye dazzle),HP:0001125,,close
sx_四肢冷,四肢冷,cold limbs,HP:6000500,,close
sx_指甲色黄,指甲色黄,Yellow nail,HP:0011367,,close
sx_目下视,目下视,downward deviation of eyes,HP:0100498,,close
sx_眵多,眵多,profuse eye discharge,HP:0034427,,close
sx_咽红,咽红,red pharynx,HP:0033151,,close
sx_咽红,咽红,red pharynx,HP:0100638,,close
sx_痫,痫,epileptic seizure (xian),HP:0033052,,close
sx_痫,痫,epileptic seizure (xian),HP:0011146,,close
sx_阴囊皮肤裂开,阴囊皮肤裂开,Scrotal skin splitting/cracking,HP:0000048,,close
sx_尿多,尿多,polyuria,HP:0000103,,exact
sx_尿多,尿多,polyuria,HP:0001563,,close
sx_阴囊水肿,阴囊水肿,Edema,HP:0000969,,exact
sx_脉弱,脉弱,Weak pulse,HP:0032553,,exact
sx_脉弱,脉弱,Weak pulse,HP:0025406,,close
sx_视瞻有色,视瞻有色,colored vision,HP:0000622,,close
sx_瞳神不圆,瞳神不圆,irregular pupil,HP:0025309,,exact
sx_指肿,指肿,Finger swelling,HP:0025131,,exact
sx_鼻翼煽动,鼻翼煽动,flaring of the alae nasi,HP:0009928,,close
sx_心烦,心烦,vexation,HP:0000737,,close
sx_带下粘稠,带下粘稠,sticky vaginal discharge,HP:0034269,,close
sx_头小,头小,microcephaly,HP:0000252,,exact
sx_头小,头小,microcephaly,HP:0005484,,close
sx_头小,头小,microcephaly,HP:0000253,,close
sx_流泪,流泪,Reflex tearing,HP:0031733,,exact
sx_脐部出血,脐部出血,umbilical bleeding,HP:0011884,,close
sx_白睛浮肿,白睛浮肿,edema of the white of the eye (chemosis),HP:0100534,,close
sx_心悸,心悸,Palpitations,HP:0001962,,exact
sx_肉芽发痒,肉芽发痒,itchy granulation tissue,HP:6000956,,close
sx_狂躁,狂躁,manic agitation,HP:0000713,,close
sx_结核累累,结核累累,numerous nodules (scrofula),HP:0001054,,close
sx_耳痒,耳痒,ear itching,HP:0000989,,close
sx_张口困难,张口困难,difficulty opening the mouth,HP:0000658,,close
sx_唇干,唇干,dry lips,HP:0040181,,exact
sx_肉芽晦暗,肉芽晦暗,dull dark granulation tissue,HP:6000956,,close
sx_指骨节脱落,指骨节脱落,loss of finger joints,HP:0001187,,close
sx_肿块推之不动,肿块推之不动,immobile mass,HP:0025760,,exact
sx_肿块推之不动,肿块推之不动,immobile mass,HP:0025759,,close
sx_怔忡,怔忡,Palpitations,HP:0001962,,exact
sx_口唇干燥,口唇干燥,dry lips,HP:0040181,,exact
sx_神昏,神昏,Coma,HP:0001259,,close
sx_阴囊肿大,阴囊肿大,scrotal enlargement,HP:0033794,,close
sx_瘙痒,瘙痒,Pruritus,HP:0000989,,exact
sx_皮疹糜烂,皮疹糜烂,eroded rash,HP:0000988,,close
sx_皮肤白点,皮肤白点,white dots on the skin,HP:0040190,,close
sx_食入腹胀,食入腹胀,Abdominal distention,HP:0003270,,exact
sx_隐痛,隐痛,Pain,HP:0012531,,close
sx_皮肤感觉消失,皮肤感觉消失,Skin anesthesia (loss of sensation),HP:0034982,,close
sx_眼胞振跳,眼胞振跳,eyelid twitch,HP:0031786,,close
sx_眼胞振跳,眼胞振跳,eyelid twitch,HP:0000643,,close
sx_少腹痛,少腹痛,Abdominal pain,HP:0002027,,exact
sx_身痛,身痛,Body ache,HP:0033047,,exact
sx_气短,气短,shortness of breath,HP:0033710,,close
sx_气短,气短,shortness of breath,HP:0002094,,exact
sx_带下杂见五色,带下杂见五色,vaginal discharge of five intermingled colors,HP:0031470,,exact
sx_带下杂见五色,带下杂见五色,vaginal discharge of five intermingled colors,HP:0034269,,close
sx_弄舌,弄舌,Abnormality of the tongue,HP:0000157,,close
sx_寒战,寒战,Chills,HP:0025143,,exact
sx_水泻,水泻,Watery diarrhea,HP:0002014,,close
sx_指苍白,指苍白,Pale finger,HP:0000980,,close
sx_耳底痛,耳底痛,deep ear pain,HP:0030766,,close
sx_皮疹瘙痒,皮疹瘙痒,itchy rash,HP:0000988,,close
sx_经断复行,经断复行,postmenopausal bleeding,HP:0033840,,exact
sx_皮肤感觉减退,皮肤感觉减退,Skin hypoesthesia,HP:0033748,,close
sx_皮肤感觉减退,皮肤感觉减退,Skin hypoesthesia,HP:0002495,,close
sx_梦呓,梦呓,sleep talking (somniloquy),HP:0025187,,exact
sx_梦呓,梦呓,sleep talking (somniloquy),HP:0025236,,close
sx_睥急紧小,睥急紧小,tight narrow eyelid fissure (blepharophimosis),HP:0045025,,close
sx_腰冷,腰冷,cold lower back,HP:0003419,,close
sx_口疮,口疮,Aphthous ulcer,HP:0032154,,exact
sx_带下如涕,带下如涕,snivel-like vaginal discharge,HP:0034269,,close
sx_舌溃疡,舌溃疡,Ulcerated tongue,HP:0040294,,close
sx_恐惧,恐惧,fearfulness,HP:5200232,,close
sx_舌紫,舌紫,Tongue pain,HP:0030811,,close
sx_咽喉痛,咽喉痛,Pharyngalgia,HP:0033050,,exact
sx_久泄不止,久泄不止,incessant chronic diarrhea,HP:0002028,,close
sx_吞食梗塞,吞食梗塞,obstruction when swallowing,HP:0004796,,close
sx_唇反人中满,唇反人中满,everted lip with flattened philtrum,HP:0010803,,close
sx_口腔糜烂,口腔糜烂,Oral erosion,HP:0200020,,close
sx_口腔糜烂,口腔糜烂,Oral erosion,HP:0012523,,close
sx_尿血棕红,尿血棕红,brownish-red hematuria,HP:0000790,,close
sx_间歇性鼻塞,间歇性鼻塞,intermittent nasal obstruction,HP:0031796,,close
sx_间歇性鼻塞,间歇性鼻塞,intermittent nasal obstruction,HP:0004796,,close
sx_尿中带血丝,尿中带血丝,blood streaks in urine,HP:0000790,,close
sx_指纹增粗,指纹增粗,thickened finger venules,HP:0034570,,close
sx_夜尿多,夜尿多,nocturia (frequent night urination),HP:0000017,,exact
sx_疮面痛觉减退,疮面痛觉减退,decreased pain sensation of sore surface,HP:0007328,,close
sx_头大,头大,macrocephaly,HP:0000256,,exact
sx_头大,头大,macrocephaly,HP:0004481,,close
sx_头大,头大,macrocephaly,HP:0004482,,close
sx_鼻端色白,鼻端色白,White tip-of-nose,HP:0000455,,close
sx_头胀,头胀,head distension,HP:0002181,,close
sx_颈细,颈细,thin neck,HP:0035007,,close
sx_结喉一侧漫肿,结喉一侧漫肿,diffuse swelling on one side of laryngeal prominence,HP:0003405,,close
sx_呃逆频作,呃逆频作,frequent hiccups,HP:0100247,,close
sx_耳鸣,耳鸣,Tinnitus,HP:0000360,,exact
sx_舌出血,舌出血,Bleeding tongue,HP:0040184,,close
sx_牙齿焦黑,牙齿焦黑,burnt-black teeth,HP:0011072,,close
sx_臂部生痈,臂部生痈,arm abscess,HP:0025615,,close
sx_皮肤感觉过敏,皮肤感觉过敏,Skin hyperesthesia,HP:0100963,,close
sx_皮肤感觉过敏,皮肤感觉过敏,Skin hyperesthesia,HP:5200058,,close
sx_齿眼肿,齿眼肿,swollen gum margin,HP:0031244,,close
sx_悬痈,悬痈,uvula abscess (xuanyong),HP:0033587,,close
sx_颈生痈,颈生痈,neck abscess,HP:6000288,,close
sx_谵语,谵语,Delirium,HP:0031258,,close
sx_头发结穗,头发结穗,tufted hair,HP:0031283,,close
sx_妊娠水肿,妊娠水肿,edema during pregnancy,HP:0200148,,close
sx_带下夹血,带下夹血,blood-streaked vaginal discharge,HP:0034269,,close
sx_口淡,口淡,Hypogeusia,HP:0000224,,exact
sx_失眠,失眠,Insomnia,HP:0100785,,exact
sx_腰痛,腰痛,Low back pain,HP:0003419,,exact
sx_阴囊溃破,阴囊溃破,scrotal ulceration,HP:0006121,,close
sx_肉芽红活,肉芽红活,red vital granulation tissue,HP:6000956,,close
sx_风团色红,风团色红,Red wheal,HP:0002297,,close
sx_鼻端色赤,鼻端色赤,Red tip-of-nose,HP:0011831,,close
sx_视力下降,视力下降,decreased vision,HP:0007663,,close
sx_视物易色,视物易色,disturbed color vision,HP:0000551,,exact
sx_咽干,咽干,Abnormality of the pharynx,HP:0000600,,close
sx_皮肤皲裂,皮肤皲裂,Skin fissuring,HP:0031057,,exact
sx_睑内结石,睑内结石,conjunctival concretion (lid stone),HP:0009903,,close
sx_反酸,反酸,Oral lichenoid lesion,HP:0031453,,close
sx_舌謇语涩,舌謇语涩,stiff tongue with sluggish speech,HP:0031373,,close
sx_肿疡作痒,肿疡作痒,itching of the abscess swelling,HP:0031244,,close
sx_恶寒,恶寒,Chills,HP:0025143,,close
sx_尿频,尿频,Frequent urination,HP:0000109,,exact
sx_尿频,尿频,Frequent urination,HP:0100515,,exact
sx_熟声如雷,熟声如雷,snoring like thunder,HP:0025372,,close
sx_心忡,心忡,palpitations,HP:0001676,,close
sx_龟头溃烂,龟头溃烂,festering glans penis,HP:0034438,,close
sx_趾甲增厚,趾甲增厚,thickened toenails,HP:0001805,,close
sx_咳声重浊,咳声重浊,Abnormally low-pitched voice,HP:0010300,,close
sx_口僻,口僻,deviated mouth,HP:0009941,,close
sx_耳痛,耳痛,Ear pain,HP:0030766,,exact
sx_视近物不清,视近物不清,blurred near vision,HP:0000622,,close
sx_惊悸,惊悸,Palpitations,HP:0001962,,close
sx_皮肤色紫,皮肤色紫,Purple skin,HP:0040322,,close
sx_月经量多,月经量多,Menorrhagia,HP:0000132,,exact
sx_肛门皮肤溃疡,肛门皮肤溃疡,Skin ulcer,HP:0200042,,exact
sx_便意频频,便意频频,frequent urge to defecate,HP:0032765,,close
sx_便意频频,便意频频,frequent urge to defecate,HP:0032781,,close
sx_便意频频,便意频频,frequent urge to defecate,HP:0032774,,close
sx_小便不利,小便不利,Dysuria,HP:0100518,,exact
sx_上臂外突,上臂外突,outward protrusion of the upper arm,HP:6001139,,close
sx_上臂外突,上臂外突,outward protrusion of the upper arm,HP:0001454,,close
sx_皮疹色白,皮疹色白,White rash,HP:0000988,,close
sx_肛门周围湿疹,肛门周围湿疹,perianal eczema,HP:0000964,,close
sx_肛门周围湿疹,肛门周围湿疹,perianal eczema,HP:0011131,,close
sx_目赤,目赤,Red eye,HP:0025337,,exact
sx_下唇肿胀,下唇肿胀,Lower-lip swelling,HP:0031244,,close
sx_下唇肿胀,下唇肿胀,Lower-lip swelling,HP:0010741,,close
sx_壮热,壮热,Malignant hyperthermia,HP:0002047,,close
sx_神志狂乱,神志狂乱,manic confusion,HP:0001289,,close
sx_尿闭,尿闭,urinary retention,HP:0000016,,exact
sx_口臭,口臭,Halitosis,HP:0100812,,exact
sx_唇燥裂,唇燥裂,dry and cracked lips,HP:0031250,,close
sx_唇燥裂,唇燥裂,dry and cracked lips,HP:0410030,,close
sx_呕吐酸水,呕吐酸水,vomiting of sour fluid,HP:0002248,,close
sx_甲向内嵌,甲向内嵌,ingrown nail,HP:0012710,,exact
sx_手掌角化,手掌角化,palmar keratinization,HP:0010610,,close
sx_手掌角化,手掌角化,palmar keratinization,HP:0010765,,close
sx_手掌角化,手掌角化,palmar keratinization,HP:0007556,,close
sx_眉毛脱落,眉毛脱落,loss of eyebrows,HP:0002223,,close
sx_颈项歪斜,颈项歪斜,wry neck,HP:0000473,,exact
sx_足跟痛,足跟痛,Foot pain,HP:0025238,,close
sx_咳如犬吠,咳如犬吠,barking cough,HP:0033121,,exact
sx_腰脊痛,腰脊痛,lumbosacral pain,HP:0009747,,close
sx_腰脊痛,腰脊痛,lumbosacral pain,HP:0200133,,close
sx_肛门皮肤糜烂,肛门皮肤糜烂,eroded anal skin,HP:0200041,,close
sx_鼻柱溃陷,鼻柱溃陷,collapsed nasal columella,HP:0009765,,close
sx_鼻柱溃陷,鼻柱溃陷,collapsed nasal columella,HP:0010761,,close
sx_肿块推之可移动,肿块推之可移动,mobile mass,HP:0025759,,exact
sx_肿块推之可移动,肿块推之可移动,mobile mass,HP:0025760,,close
sx_痔核出血,痔核出血,bleeding hemorrhoidal nodule,HP:0040184,,close
sx_神水浑浊,神水浑浊,turbid aqueous humor,HP:0430031,,close
sx_胎动不安,胎动不安,Prenatal movement abnormality,HP:0001557,,exact
sx_视物模糊,视物模糊,blurred vision,HP:0000622,,exact
sx_视物模糊,视物模糊,blurred vision,HP:0001125,,close
sx_耳聋,耳聋,Severe hearing impairment,HP:0012714,,exact
sx_寒热往来,寒热往来,Temperature instability,HP:0005968,,exact
sx_胸痛,胸痛,Chest pain,HP:0100749,,exact
sx_左下腹包块,左下腹包块,left lower abdominal mass,HP:0031500,,close
sx_潮热,潮热,Hot flashes,HP:0031217,,exact
sx_妊娠腹痛,妊娠腹痛,abdominal pain during pregnancy,HP:0002027,,close
sx_妊娠腹痛,妊娠腹痛,abdominal pain during pregnancy,HP:0033400,,close
sx_骨折四肢畸形,骨折四肢畸形,limb deformity from fracture,HP:0040064,,close
sx_皮疹色褐,皮疹色褐,Brown rash,HP:0000988,,close
sx_功能失调性月经紊乱,功能失调性月经紊乱,dysfunctional menstrual irregularity,HP:0000858,,close
sx_恶心,恶心,Nausea,HP:0002018,,exact
sx_目珠痛,目珠痛,Eyeball pain,HP:0200026,,close
sx_梦中啮齿,梦中啮齿,teeth grinding during sleep,HP:0003763,,close
sx_夜寐不安,夜寐不安,restless sleep,HP:0025199,,exact
sx_颈粗,颈粗,thick neck,HP:0000475,,exact
sx_晶珠混浊,晶珠混浊,cloudy lens (cataract),HP:0000518,,exact
sx_晶珠混浊,晶珠混浊,cloudy lens (cataract),HP:0100018,,close
sx_过早绝经,过早绝经,premature menopause,HP:0008209,,exact
sx_前囟宽大,前囟宽大,wide anterior fontanelle,HP:0000260,,exact
sx_前囟宽大,前囟宽大,wide anterior fontanelle,HP:6001069,,close
sx_前囟宽大,前囟宽大,wide anterior fontanelle,HP:0004474,,close
sx_鼻不闻香臭,鼻不闻香臭,Anosmia,HP:0000458,,exact
sx_头昏,头昏,dizziness,HP:0002321,,exact
sx_舌老,舌老,Rough (aged) tongue,HP:0012473,,close
sx_白睛溢血,白睛溢血,bleeding on the white of the eye (subconjunctival hemorrhage),HP:0011885,,close
sx_阴茎湿疹,阴茎湿疹,penile eczema,HP:0000964,,close
sx_阴茎湿疹,阴茎湿疹,penile eczema,HP:6000087,,close
sx_赘皮肿胀,赘皮肿胀,Skin tag/redundant skin swelling,HP:0001582,,close
sx_唇焦干,唇焦干,parched lips,HP:0000205,,close
sx_恶风,恶风,Chills,HP:0025143,,exact
sx_红斑对称分布,红斑对称分布,symmetrically distributed erythema,HP:6000857,,close
sx_咽部滤泡增生,咽部滤泡增生,Pharynx follicles hyperplasia,HP:0002729,,close
sx_倒睫拳毛,倒睫拳毛,Trichiasis,HP:0001128,,exact
sx_肛周皮下可触及条索状物,肛周皮下可触及条索状物,palpable cord-like mass under perianal skin,HP:0011131,,close
sx_舌破裂出血,舌破裂出血,Cracked and bleeding tongue,HP:0040184,,close
sx_胞睑色红,胞睑色红,red eyelid,HP:0040323,,exact
sx_胞睑色红,胞睑色红,red eyelid,HP:0010608,,close
sx_臀部皮肤潮红,臀部皮肤潮红,flushed buttock skin,HP:0034805,,close
sx_水疱色白,水疱色白,White blister (vesicle),HP:0008066,,close
sx_鱼际脉络青,鱼际脉络青,Bluish thenar-eminence vessels and collaterals,HP:0001245,,close
sx_肛门周围皮肤见瘘口,肛门周围皮肤见瘘口,fistula opening in perianal skin,HP:0010447,,close
sx_肛门周围皮肤见瘘口,肛门周围皮肤见瘘口,fistula opening in perianal skin,HP:0011131,,close
sx_神疲,神疲,mental fatigue,HP:0033630,,exact
sx_神疲,神疲,mental fatigue,HP:0033236,,close
sx_全身无力,全身无力,generalized weakness,HP:0025406,,close
sx_全身无力,全身无力,generalized weakness,HP:0009028,,close
sx_全身无力,全身无力,generalized weakness,HP:0003324,,close
sx_舌痛,舌痛,Tongue pain,HP:0030811,,exact
sx_健忘,健忘,Progressive forgetfulness,HP:0007017,,exact
sx_脐部瘘管,脐部瘘管,umbilical fistula,HP:0010770,,close
sx_头重,头重,Abnormality of the head,HP:0000234,,close
sx_睑板色赤,睑板色赤,Red tarsal-plate,HP:0025553,,close
sx_目闭不开,目闭不开,inability to open the eyes,HP:0002540,,close
sx_疼痛,疼痛,Pain,HP:0003326,,exact
sx_疼痛,疼痛,Pain,HP:0012531,,exact
sx_麻木不仁,麻木不仁,numbness (loss of sensation),HP:0033748,,exact
sx_麻木不仁,麻木不仁,numbness (loss of sensation),HP:0030213,,close
sx_牙龈溃烂,牙龈溃烂,Abnormality of the gingiva,HP:0000168,,close
sx_颈项活动受限,颈项活动受限,restricted neck movement,HP:0005986,,exact
sx_颈项活动受限,颈项活动受限,restricted neck movement,HP:0005997,,close
sx_颈项活动受限,颈项活动受限,restricted neck movement,HP:0006596,,close
sx_乏力,乏力,Malaise,HP:0033834,,exact
sx_妊娠呕吐,妊娠呕吐,Hyperemesis gravidarum,HP:0012188,,exact
sx_产后便秘,产后便秘,Constipation,HP:0002019,,exact
sx_不欲饮食,不欲饮食,poor appetite,HP:0004396,,exact
sx_食后呕吐,食后呕吐,vomiting after meals,HP:0025089,,close
sx_足麻,足麻,foot numbness,HP:0033748,,close
sx_苔花剥,苔花剥,Geographic (patchy peeled) tongue coating,HP:0025252,,close
sx_睾丸表面光滑,睾丸表面光滑,smooth testicular surface,HP:0010298,,close
sx_声音高亢,声音高亢,high-pitched voice,HP:0001620,,close
sx_声音高亢,声音高亢,high-pitched voice,HP:0025430,,close
sx_小儿言语迟缓,小儿言语迟缓,delayed speech in children,HP:0000750,,close
sx_小儿言语迟缓,小儿言语迟缓,delayed speech in children,HP:5200038,,close
sx_鼻痒,鼻痒,Abnormality of the nose,HP:0000366,,exact
sx_水疱饱满,水疱饱满,tense full blisters,HP:0008066,,close
sx_目痛,目痛,Ocular pain,HP:0200026,,exact
sx_眼睑肿核,眼睑肿核,swollen nodule of the eyelid (chalazion),HP:0010604,,close
sx_呕吐,呕吐,Vomiting,HP:0002013,,exact
sx_水疱大小不一,水疱大小不一,blisters of varying sizes,HP:0008066,,close
sx_体毛干枯,体毛干枯,Brittle hair,HP:0002299,,exact
sx_喜食异物,喜食异物,pica (craving for foreign objects),HP:0011856,,exact
sx_背痛,背痛,Back pain,HP:0003418,,exact
sx_口唇青紫,口唇青紫,bluish-purple lips,HP:0034030,,close
sx_吞咽不利,吞咽不利,difficulty swallowing,HP:0002015,,exact
sx_皮肤于燥,皮肤于燥,Skin dryness,HP:0031088,,close
sx_皮肤于燥,皮肤于燥,Skin dryness,HP:0033521,,close
sx_皮肤紫斑,皮肤紫斑,Skin purpura,HP:0000979,,close
sx_流热泪,流热泪,hot tearing,HP:0009926,,close
sx_流热泪,流热泪,hot tearing,HP:0033705,,close
sx_失音,失音,Loss of voice,HP:0001686,,exact
sx_呼吸急促,呼吸急促,Tachypnea,HP:0002789,,exact
sx_囟门早闭,囟门早闭,premature closure of fontanelle,HP:0005494,,close
sx_囟门早闭,囟门早闭,premature closure of fontanelle,HP:0005458,,exact
sx_囟门早闭,囟门早闭,premature closure of fontanelle,HP:0000270,,close
sx_口干,口干,Xerostomia,HP:0000217,,exact
sx_闭经溢乳,闭经溢乳,amenorrhea with galactorrhea,HP:0000788,,exact
sx_眼干燥,眼干燥,Retinal degeneration,HP:0000546,,exact
sx_晶珠全脱,晶珠全脱,complete lens dislocation,HP:0012019,,close
sx_晶珠全脱,晶珠全脱,complete lens dislocation,HP:0001083,,close
sx_睛珠颤转,睛珠颤转,trembling rotating eyeball (nystagmus),HP:0000528,,close
sx_口腻,口腻,greasy (sticky) taste in mouth,HP:0031249,,close
sx_周身酸软,周身酸软,generalized soreness and weakness,HP:0003324,,close
sx_肢体血肿,肢体血肿,limb hematoma,HP:0012233,,close
sx_人中色白,人中色白,White philtrum,HP:0000289,,close
sx_水疱混浊,水疱混浊,turbid blisters,HP:0008066,,close
sx_肠鸣音弱,肠鸣音弱,weak bowel sounds,HP:0030144,,close
sx_肠鸣音弱,肠鸣音弱,weak bowel sounds,HP:0030143,,close
sx_肠鸣音弱,肠鸣音弱,weak bowel sounds,HP:6000633,,close
sx_关节冷,关节冷,Joint coldness,HP:0033850,,close
sx_肢体发绀,肢体发绀,limb cyanosis,HP:0000961,,close
sx_肢体发绀,肢体发绀,limb cyanosis,HP:0034030,,close
sx_经行吐衄,经行吐衄,vomiting of blood and nosebleed during menstruation,HP:0002248,,close
sx_全头痛,全头痛,generalized headache,HP:0002315,,close
sx_胁痛,胁痛,Costochondral pain,HP:0006649,,close
sx_呃逆,呃逆,hiccup,HP:0100247,,close
sx_牙龈高肿,牙龈高肿,Gum raised swelling,HP:0001785,,close
sx_手软下垂,手软下垂,wrist drop (flaccid hand),HP:0031189,,exact
sx_睾丸部肿块,睾丸部肿块,testicular mass,HP:0032404,,exact
sx_瞳神散大,瞳神散大,Mydriasis,HP:0011499,,exact
sx_绊舌,绊舌,Tongue-tie (ankyloglossia),HP:0010296,,exact
sx_妊娠眩晕,妊娠眩晕,Vertigo,HP:0002321,,exact
sx_难产,难产,Shoulder dystocia,HP:0011413,,exact
sx_前囟凹陷,前囟凹陷,sunken anterior fontanelle,HP:0000237,,close
sx_前囟凹陷,前囟凹陷,sunken anterior fontanelle,HP:6000084,,close
sx_前囟凹陷,前囟凹陷,sunken anterior fontanelle,HP:6001069,,close
sx_纳呆,纳呆,Poor appetite,HP:0004396,,exact
sx_神情呆滞,神情呆滞,dull expression,HP:0000338,,close
sx_身热不扬,身热不扬,unremitting low-grade fever (heat not effusing),HP:0011134,,close
sx_大便秘结,大便秘结,Constipation,HP:0002019,,exact
sx_下肢颤抖,下肢颤抖,trembling of lower limbs,HP:0002522,,close
sx_腹中包块推之可移,腹中包块推之可移,mobile abdominal mass,HP:0031500,,close
