symptom_localname,symptom_zh,symptom_en,snomedCT_id,snomedCT_term,mapType
sx_妄见,妄见,visual hallucination,64269007,visual hallucination,exact
sx_妄见,妄见,visual hallucination,7011001,hallucination,close
sx_斑色玫瑰红,斑色玫瑰红,Rose-red macule,112629002,flat discolored area of skin,close
sx_头皮脱屑,头皮脱屑,scalp scaling,75851004,allodynia of scalp,close
sx_头皮脱屑,头皮脱屑,scalp scaling,50563003,dysseborrheic dermatitis,close
sx_头皮脱屑,头皮脱屑,scalp scaling,86708008,dysseborrheic dermatitis,close
sx_足下垂,足下垂,Foot dorsiflexor weakness,6077001,foot dorsiflexor weakness,exact
sx_咽肿,咽肿,pharyngeal swelling,2129002,pharyngeal edema,close
sx_烧伤起泡,烧伤起泡,burn blistering,67653003,pretibial blistering,close
sx_头痛,头痛,Headache,25064002,Headache,exact
sx_舌肿胀,舌肿胀,Abnormal tongue morphology,19829001,abnormal lung morphology,close
sx_舌肿胀,舌肿胀,Abnormal tongue morphology,10810001,abnormal lens morphology,close
sx_舌肿胀,舌肿胀,Abnormal tongue morphology,17790008,abnormal nail morphology,close
sx_鼻头枯稿,鼻头枯稿,withered nasal tip,249331008,narrow nasal tip,close
sx_鼻头枯稿,鼻头枯稿,withered nasal tip,249326006,bifid nasal tip,close
sx_鼻头枯稿,鼻头枯稿,withered nasal tip,249327002,broad nasal tip,close
sx_小腹痛,小腹痛,Abdominal pain,21522001,abdominal discomfort,exact
sx_饭后欲睡,饭后欲睡,postprandial drowsiness,79519003,abnormal drowsiness,close
sx_饭后欲睡,饭后欲睡,postprandial drowsiness,271782001,abnormal drowsiness,close
sx_口唇色赤,口唇色赤,red lips,7847004,cheilitis,close
sx_早泄,早泄,Premature ejaculation,44001008,premature ejaculation,exact
sx_早泄,早泄,Premature ejaculation,15405008,delayed ejaculation,close
sx_脊柱侧弯,脊柱侧弯,Scoliosis,111266001,cobb angle greater than ten degrees,exact
sx_脊柱侧弯,脊柱侧弯,Scoliosis,64217002,cobb angle greater than ten degrees,exact
sx_脊柱侧弯,脊柱侧弯,Scoliosis,203645000,compensatory scoliosis,close
sx_口张,口张,open mouth (inability to close),262016004,gaped jawed appearance,close
sx_皮肤色黄如橘,皮肤色黄如橘,orange-yellow skin,18165001,icterus,close
sx_嗅觉减退,嗅觉减退,Hyposmia,83156004,decreased smell sensation,exact
sx_下肢青脉显露,下肢青脉显露,prominent blue vessels of lower limbs,109504005,big lower jaw,close
sx_下肢青脉显露,下肢青脉显露,prominent blue vessels of lower limbs,22810007,big lower jaw,close
sx_听力减退,听力减退,Hearing impairment,103276001,deafness,exact
sx_听力减退,听力减退,Hearing impairment,15188001,deafness,exact
sx_听力减退,听力减退,Hearing impairment,95828007,deafness,exact
sx_便稀如水,便稀如水,watery stool,267060006,diarrhea,exact
sx_便稀如水,便稀如水,watery stool,62315008,diarrhea,exact
sx_视远物不清,视远物不清,blurred distant vision,111516008,blurred vision,close
sx_视远物不清,视远物不清,blurred distant vision,246636008,blurred vision,close
sx_颅缝开解,颅缝开解,separation of cranial sutures,268855009,broad cranial sutures,close
sx_颅缝开解,颅缝开解,separation of cranial sutures,276710001,little cranial sutures,close
sx_颅缝开解,颅缝开解,separation of cranial sutures,57219006,cranial suture synostosis,close
sx_便血,便血,Hematochezia,405737000,Hematochezia,exact
sx_喷嚏,喷嚏,Sneeze,76067001,Sneezing,exact
sx_气息微,气息微,faint breathing,87317003,breathing cessation,close
sx_皮肤萎黄,皮肤萎黄,sallow-yellow skin,18165001,icterus,close
sx_尿少,尿少,oliguria,718403007,oliguria,exact
sx_尿少,尿少,oliguria,83128009,oliguria,exact
sx_肩痛,肩痛,Shoulder pain,45326000,Shoulder pain,close
sx_手足心热,手足心热,Fever,304213008,low grade fever,close
sx_手足心热,手足心热,Fever,386661006,fever,exact
sx_手足心热,手足心热,Fever,50177009,fever,exact
sx_皮肤色黄,皮肤色黄,Yellow discoloration of the skin,18165001,icterus,exact
sx_皮肤色黄,皮肤色黄,Yellow discoloration of the skin,119419001,blue discoloration of the skin,close
sx_皮肤色黄,皮肤色黄,Yellow discoloration of the skin,3415004,blue discoloration of the skin,close
sx_阴茎粗长,阴茎粗长,thickened and elongated penis,88673001,enlarged penis,close
sx_乳蛾肿大,乳蛾肿大,enlarged tonsil,46689006,enlarged tonsils,close
sx_哮鸣,哮鸣,Wheezing,56018004,wheezing,exact
sx_哮鸣,哮鸣,Wheezing,24612001,rhonchi,close
sx_脐腹痛,脐腹痛,periumbilical pain,21522001,abdominal discomfort,close
sx_皮疹细小,皮疹细小,fine rash,112625008,rash,close
sx_皮疹细小,皮疹细小,fine rash,271807003,rash,close
sx_小儿咬爪甲,小儿咬爪甲,nail biting in children,37298006,nail biting,close
sx_眼花,眼花,blurred vision (eye dazzle),111516008,blurred vision,exact
sx_眼花,眼花,blurred vision (eye dazzle),246636008,blurred vision,exact
sx_舌有紫斑,舌有紫斑,Tongue purpura,12393003,blood spots,close
sx_舌有紫斑,舌有紫斑,Tongue purpura,387778001,blood spots,close
sx_舌有紫斑,舌有紫斑,Tongue purpura,423902002,blood spots,close
sx_指甲色黄,指甲色黄,Yellow nail,45342007,yellow nails,close
sx_肿瘤悬垂,肿瘤悬垂,pendulous tumor,108369006,abnormal tissue mass,close
sx_肿瘤悬垂,肿瘤悬垂,pendulous tumor,363346000,abnormal tissue mass,close
sx_咽红,咽红,red pharynx,126685009,neoplasia of the pharynx,close
sx_痫,痫,epileptic seizure (xian),246545002,epilepsy,exact
sx_臀部生痈,臀部生痈,buttock abscess,299709002,dental abscess,close
sx_阴囊皮肤裂开,阴囊皮肤裂开,Scrotal skin splitting/cracking,236780002,bifid scrotum,close
sx_尿多,尿多,polyuria,28442001,increased urine output,exact
sx_尿多,尿多,polyuria,56574000,increased urine output,exact
sx_尿多,尿多,polyuria,718402002,increased urine output,exact
sx_牙龈色红,牙龈色红,red gums,66383009,gingival inflammation,close
sx_阴囊水肿,阴囊水肿,Edema,267038008,Edema,exact
sx_泄泻,泄泻,Diarrhea,267060006,diarrhea,exact
sx_泄泻,泄泻,Diarrhea,62315008,diarrhea,exact
sx_泄泻,泄泻,Diarrhea,236071009,chronic diarrhea,close
sx_头小,头小,microcephaly,271611007,abnormally small cranium,exact
sx_流泪,流泪,Reflex tearing,267102003,Tearing,exact
sx_心悸,心悸,Palpitations,80313002,Palpitations,exact
sx_狂躁,狂躁,manic agitation,24199005,agitation,close
sx_耳痒,耳痒,ear itching,279333002,itching,close
sx_耳痒,耳痒,ear itching,418290006,itching,close
sx_耳痒,耳痒,ear itching,418363000,itching,close
sx_张口困难,张口困难,difficulty opening the mouth,423142006,difficulty opening the eyelids,close
sx_张口困难,张口困难,difficulty opening the mouth,87866006,decrease in jaw mobility,close
sx_斑色紫红,斑色紫红,Purple red macule,112629002,flat discolored area of skin,close
sx_唇干,唇干,dry lips,16459000,chapped lip,exact
sx_唇干,唇干,dry lips,238751002,chapped lip,exact
sx_唇干,唇干,dry lips,248182008,chapped lip,exact
sx_阴囊透光阴性,阴囊透光阴性,negative transillumination of scrotum,236780002,bifid scrotum,close
sx_怔忡,怔忡,Palpitations,80313002,Palpitations,exact
sx_口唇干燥,口唇干燥,dry lips,16459000,chapped lip,exact
sx_口唇干燥,口唇干燥,dry lips,238751002,chapped lip,exact
sx_口唇干燥,口唇干燥,dry lips,248182008,chapped lip,exact
sx_神昏,神昏,Coma,271782001,Comatose,close
sx_瘙痒,瘙痒,Pruritus,418363000,Pruritus,exact
sx_食入腹胀,食入腹胀,Abdominal distention,60728008,Abdominal bloating,exact
sx_隐痛,隐痛,Pain,247355005,flank pain,close
sx_隐痛,隐痛,Pain,29857009,chest discomfort,close
sx_隐痛,隐痛,Pain,21522001,abdominal discomfort,close
sx_眼胞振跳,眼胞振跳,eyelid twitch,59026006,blepharospasm,close
sx_少腹痛,少腹痛,Abdominal pain,21522001,abdominal discomfort,exact
sx_气短,气短,shortness of breath,230145002,abnormal breathing,exact
sx_气短,气短,shortness of breath,267036007,abnormal breathing,exact
sx_带下杂见五色,带下杂见五色,vaginal discharge of five intermingled colors,248955002,Vaginal discharge,exact
sx_弄舌,弄舌,Abnormality of the tongue,275259005,abnormal pinnae,close
sx_弄舌,弄舌,Abnormality of the tongue,19416009,abnormal eye,close
sx_弄舌,弄舌,Abnormality of the tongue,371405004,abnormal eye,close
sx_水泻,水泻,Watery diarrhea,267060006,diarrhea,close
sx_水泻,水泻,Watery diarrhea,62315008,diarrhea,close
sx_指苍白,指苍白,Pale finger,398979000,paleness,close
sx_言语不清,言语不清,Slurred speech,289195008,slurred speech,exact
sx_耳底痛,耳底痛,deep ear pain,16001004,ear pain,close
sx_耳底痛,耳底痛,deep ear pain,162356005,ear pain,close
sx_皮肤感觉减退,皮肤感觉减退,Skin hypoesthesia,130980003,decreased vibration sense,close
sx_尿血淡红,尿血淡红,light-red hematuria,34436003,blood in urine,close
sx_尿血淡红,尿血淡红,light-red hematuria,53298000,blood in urine,close
sx_腰冷,腰冷,cold lower back,279039007,low back pain,close
sx_口疮,口疮,Aphthous ulcer,235000006,Oral ulcer,exact
sx_舌溃疡,舌溃疡,Ulcerated tongue,52368004,fissured tongue,close
sx_舌溃疡,舌溃疡,Ulcerated tongue,84557007,bifid tongue,close
sx_舌紫,舌紫,Tongue pain,248614001,Tongue discoloration,close
sx_久泄不止,久泄不止,incessant chronic diarrhea,236071009,chronic diarrhea,close
sx_吞食梗塞,吞食梗塞,obstruction when swallowing,126765001,gastrointestinal obstruction,close
sx_口腔糜烂,口腔糜烂,Oral erosion,50792001,corneal erosion,close
sx_尿血棕红,尿血棕红,brownish-red hematuria,34436003,blood in urine,close
sx_尿血棕红,尿血棕红,brownish-red hematuria,53298000,blood in urine,close
sx_间歇性鼻塞,间歇性鼻塞,intermittent nasal obstruction,267100006,blockage of nose,close
sx_间歇性鼻塞,间歇性鼻塞,intermittent nasal obstruction,232209000,blockage of nose,close
sx_间歇性鼻塞,间歇性鼻塞,intermittent nasal obstruction,68235000,blockage of nose,close
sx_尿中带血丝,尿中带血丝,blood streaks in urine,34436003,blood in urine,close
sx_尿中带血丝,尿中带血丝,blood streaks in urine,53298000,blood in urine,close
sx_对光消失,对光消失,absent light reflex,247144003,absent foveal reflex,close
sx_皮疹结血痴,皮疹结血痴,blood-crusted rash,112625008,rash,close
sx_皮疹结血痴,皮疹结血痴,blood-crusted rash,271807003,rash,close
sx_夜尿多,夜尿多,nocturia (frequent night urination),139394000,nocturia,exact
sx_疮面痛觉减退,疮面痛觉减退,decreased pain sensation of sore surface,697990000,decreased taste,close
sx_头大,头大,macrocephaly,396100011910,disproportionately large head,close
sx_鼻端色白,鼻端色白,White tip-of-nose,249327002,broad nasal tip,close
sx_鼻端色白,鼻端色白,White tip-of-nose,249331008,narrow nasal tip,close
sx_鼻端色白,鼻端色白,White tip-of-nose,249326006,bifid nasal tip,close
sx_头胀,头胀,head distension,2032001,brain edema,close
sx_耳鸣,耳鸣,Tinnitus,60862001,Tinnitus,exact
sx_臂部生痈,臂部生痈,arm abscess,82127005,perianal abscess,close
sx_皮肤感觉过敏,皮肤感觉过敏,Skin hyperesthesia,14151009,hyperaesthesia,close
sx_声音低沉,声音低沉,Weak voice,34527004,hypophonia,exact
sx_声音低沉,声音低沉,Weak voice,8614008,hypophonia,exact
sx_吞咽困难,吞咽困难,Dysphagia,288939007,deglutition disorder,exact
sx_吞咽困难,吞咽困难,Dysphagia,40739000,deglutition disorder,exact
sx_吞咽困难,吞咽困难,Dysphagia,71457002,oral pharyngeal dysphagia,close
sx_口淡,口淡,Hypogeusia,697990000,decreased taste,exact
sx_失眠,失眠,Insomnia,59050008,Insomnia,exact
sx_腰痛,腰痛,Low back pain,279039007,Low back pain,exact
sx_精索坚硬,精索坚硬,hard spermatic cord,49198006,spermatic cord torsion,close
sx_精索坚硬,精索坚硬,hard spermatic cord,81996005,spermatic cord torsion,close
sx_鼻端色赤,鼻端色赤,Red tip-of-nose,249331008,narrow nasal tip,close
sx_鼻端色赤,鼻端色赤,Red tip-of-nose,249327002,broad nasal tip,close
sx_鼻端色赤,鼻端色赤,Red tip-of-nose,249326006,bifid nasal tip,close
sx_视力下降,视力下降,decreased vision,13164000,decreased central vision,close
sx_视物易色,视物易色,disturbed color vision,23289000,abnormal color vision,exact
sx_视物易色,视物易色,disturbed color vision,367469000,abnormal color vision,exact
sx_咽干,咽干,Abnormality of the pharynx,162084009,Dry throat,close
sx_头皮血肿,头皮血肿,Cephalohematoma,206200000,cephalohaematoma,exact
sx_头皮血肿,头皮血肿,Cephalohematoma,83095000,cephalohaematoma,exact
sx_睑内结石,睑内结石,conjunctival concretion (lid stone),428477002,conjunctival nodule,close
sx_反酸,反酸,Oral lichenoid lesion,16331000,Heartburn,close
sx_恶寒,恶寒,Chills,274640006,Chills,close
sx_尿频,尿频,Frequent urination,11829000,Urinary frequency,exact
sx_心忡,心忡,palpitations,80313002,heart palpitations,close
sx_趾甲增厚,趾甲增厚,thickened toenails,52897009,dystrophic thickened nails,close
sx_咳声重浊,咳声重浊,Abnormally low-pitched voice,51406002,abnormally high pitched voice,close
sx_耳痛,耳痛,Ear pain,10608006,Ear pain,exact
sx_视近物不清,视近物不清,blurred near vision,111516008,blurred vision,close
sx_视近物不清,视近物不清,blurred near vision,246636008,blurred vision,close
sx_惊悸,惊悸,Palpitations,80313002,heart palpitations,close
sx_皮肤色紫,皮肤色紫,Purple skin,387778001,blood spots,close
sx_皮肤色紫,皮肤色紫,Purple skin,423902002,blood spots,close
sx_皮肤色紫,皮肤色紫,Purple skin,12393003,blood spots,close
sx_月经量多,月经量多,Menorrhagia,237053008,Menorrhagia,exact
sx_肛门皮肤溃疡,肛门皮肤溃疡,Skin ulcer,46742003,Skin ulcer,exact
sx_小便不利,小便不利,Dysuria,49650001,dull burning sensation with urination,exact
sx_目赤,目赤,Red eye,1797002,Red eye,exact
sx_下唇肿胀,下唇肿胀,Lower-lip swelling,102572006,dependant edema,close
sx_壮热,壮热,Malignant hyperthermia,386661006,fever,close
sx_壮热,壮热,Malignant hyperthermia,50177009,fever,close
sx_壮热,壮热,Malignant hyperthermia,405501007,malignant hyperthermia,exact
sx_神志狂乱,神志狂乱,manic confusion,286933003,confusion,close
sx_牙龈晦暗,牙龈晦暗,dull dark gums,235038002,dark color of gums,close
sx_尿闭,尿闭,urinary retention,130951007,increased post void residual urine volume,exact
sx_尿闭,尿闭,urinary retention,267064002,increased post void residual urine volume,exact
sx_尿闭,尿闭,urinary retention,449491000124,increased post void residual urine volume,exact
sx_嗜睡,嗜睡,Lethargy,214264003,dullness,exact
sx_嗜睡,嗜睡,Lethargy,271782001,abnormal drowsiness,exact
sx_嗜睡,嗜睡,Lethargy,79519003,abnormal drowsiness,exact
sx_口臭,口臭,Halitosis,33893004,Halitosis,exact
sx_入睡难,入睡难,Sleep onset insomnia,193462001,difficulty staying or falling asleep,close
sx_入睡难,入睡难,Sleep onset insomnia,53888004,difficulty sleeping,close
sx_眼前闪光,眼前闪光,Photopsia (flashing lights before the eyes),15013002,eye floaters,exact
sx_眼前闪光,眼前闪光,Photopsia (flashing lights before the eyes),162278001,eye floaters,exact
sx_眼前闪光,眼前闪光,Photopsia (flashing lights before the eyes),420999000,eye floaters,exact
sx_甲向内嵌,甲向内嵌,ingrown nail,400097005,ingrown nail,exact
sx_甲向内嵌,甲向内嵌,ingrown nail,400200009,ingrown nail,exact
sx_咀嚼困难,咀嚼困难,Impaired mastication,162020001,chewing difficulties,exact
sx_手掌角化,手掌角化,palmar keratinization,247449001,palmar pits,close
sx_眉毛脱落,眉毛脱落,loss of eyebrows,253208007,absent eyebrow,close
sx_眉毛脱落,眉毛脱落,loss of eyebrows,422441003,absent eyebrow,close
sx_皮肤增厚,皮肤增厚,Thickened skin,17417006,diffusely thickened skin,exact
sx_皮肤增厚,皮肤增厚,Thickened skin,69943009,diffusely thickened skin,exact
sx_皮肤增厚,皮肤增厚,Thickened skin,51603000,cutis gyrata of scalp,close
sx_颈项歪斜,颈项歪斜,wry neck,270476009,cervical dystonia,exact
sx_颈项歪斜,颈项歪斜,wry neck,70070008,cervical dystonia,exact
sx_颈项歪斜,颈项歪斜,wry neck,74333002,cervical dystonia,exact
sx_皮峪隆起,皮峪隆起,Skin-ridges bulging,18265008,anterior bulging of the globe,close
sx_手背肿如覆碗,手背肿如覆碗,dorsal hand swelling like an upturned bowl,708670007,anteverted nares,close
sx_腰脊痛,腰脊痛,lumbosacral pain,247355005,flank pain,close
sx_腰脊痛,腰脊痛,lumbosacral pain,279039007,low back pain,close
sx_肛门皮肤糜烂,肛门皮肤糜烂,eroded anal skin,93448009,skin erosion,close
sx_肩凝,肩凝,frozen shoulder,45326000,shoulder pain,close
sx_胸廓变形,胸廓变形,thoracic deformity,29857009,chest discomfort,close
sx_口腔溃烂,口腔溃烂,Oral ulceration and festering,26284000,mouth sore,close
sx_视物模糊,视物模糊,blurred vision,111516008,blurred vision,exact
sx_视物模糊,视物模糊,blurred vision,246636008,blurred vision,exact
sx_耳聋,耳聋,Severe hearing impairment,15188001,Hearing loss,exact
sx_牙根痛,牙根痛,pain at tooth root,109493006,absence of tooth root,close
sx_胸痛,胸痛,Chest pain,29857009,Chest pain,exact
sx_妊娠腹痛,妊娠腹痛,abdominal pain during pregnancy,21522001,abdominal discomfort,close
sx_包茎,包茎,Phimosis,253854008,phimosis,exact
sx_骨折四肢畸形,骨折四肢畸形,limb deformity from fracture,445144002,abnormal limbs,close
sx_皮疹色褐,皮疹色褐,Brown rash,112625008,rash,close
sx_皮疹色褐,皮疹色褐,Brown rash,271807003,rash,close
sx_上肢萎缩,上肢萎缩,Upper limb amyotrophy,253921005,asymmetric upper limb shortening,close
sx_上肢萎缩,上肢萎缩,Upper limb amyotrophy,74035001,amyotrophy,close
sx_上肢萎缩,上肢萎缩,Upper limb amyotrophy,298745009,hypertrophy of the upper limb,close
sx_功能失调性月经紊乱,功能失调性月经紊乱,dysfunctional menstrual irregularity,80182007,irregular menses,close
sx_圆背,圆背,Round back (kyphotic posture),414564002,gibbus deformity,exact
sx_皮肤色素减退,皮肤色素减退,Hypopigmentation of the skin,18655006,hypopigmentation,exact
sx_皮肤色素减退,皮肤色素减退,Hypopigmentation of the skin,201284005,hypopigmentation,exact
sx_皮肤色素减退,皮肤色素减退,Hypopigmentation of the skin,23006000,hypopigmentation,exact
sx_恶心,恶心,Nausea,422587007,Nausea,exact
sx_目珠痛,目珠痛,Eyeball pain,41652007,eye pain,close
sx_梦中啮齿,梦中啮齿,teeth grinding during sleep,191983006,bruxism,close
sx_梦中啮齿,梦中啮齿,teeth grinding during sleep,90207007,bruxism,close
sx_晶珠混浊,晶珠混浊,cloudy lens (cataract),128306009,cataract,exact
sx_晶珠混浊,晶珠混浊,cloudy lens (cataract),193570009,cataract,exact
sx_晶珠混浊,晶珠混浊,cloudy lens (cataract),247053007,cataract,exact
sx_过早绝经,过早绝经,premature menopause,373717006,climacterium praecox,exact
sx_前囟宽大,前囟宽大,wide anterior fontanelle,295091000119,delayed closure anterior fontanel,close
sx_前囟宽大,前囟宽大,wide anterior fontanelle,276709006,enlarged fontanelles,close
sx_鼻不闻香臭,鼻不闻香臭,Anosmia,44169009,anosmia,exact
sx_头昏,头昏,dizziness,271789005,dizziness,exact
sx_头昏,头昏,dizziness,399090003,dizziness,exact
sx_头昏,头昏,dizziness,399153001,dizziness,exact
sx_白睛溢血,白睛溢血,bleeding on the white of the eye (subconjunctival hemorrhage),815008,episcleritis,close
sx_日唇红肿,日唇红肿,Red lips swelling,271771009,joint swelling,close
sx_膝外翻,膝外翻,Genu valgum,299331007,bow leggedness,exact
sx_膝外翻,膝外翻,Genu valgum,299330008,genu valga,exact
sx_赘皮肿胀,赘皮肿胀,Skin tag/redundant skin swelling,201093004,loose redundant skin,close
sx_倒睫拳毛,倒睫拳毛,Trichiasis,60332004,ingrown eyelashes,exact
sx_胞睑色红,胞睑色红,red eyelid,414521009,hordeolum internum,close
sx_肛门周围皮肤见瘘口,肛门周围皮肤见瘘口,fistula opening in perianal skin,72779005,anal fistula,close
sx_鼻疮,鼻疮,Nasal sore,126669004,nasal neoplasm,close
sx_疲乏,疲乏,Fatigue,248274002,fatigue,exact
sx_疲乏,疲乏,Fatigue,84229001,fatigue,exact
sx_疲乏,疲乏,Fatigue,80449002,increased muscle fatiguability,close
sx_舌光,舌光,Bare (mirror) tongue,25273001,abnormally large tongue,close
sx_舌光,舌光,Bare (mirror) tongue,253752000,bumpy tongue,close
sx_全身无力,全身无力,generalized weakness,249945007,leg weakness,close
sx_舌痛,舌痛,Tongue pain,30731004,Tongue pain,exact
sx_鼻梁凹陷,鼻梁凹陷,Depressed nasal bridge,204521002,bifid nasal bridge,exact
sx_鼻梁凹陷,鼻梁凹陷,Depressed nasal bridge,249321001,broad flat nasal bridge,close
sx_产后多汗,产后多汗,profuse sweating after childbirth,161857006,diaphoresis,close
sx_产后多汗,产后多汗,profuse sweating after childbirth,364538006,diaphoresis,close
sx_产后多汗,产后多汗,profuse sweating after childbirth,415690000,diaphoresis,close
sx_健忘,健忘,Progressive forgetfulness,162636000,Memory impairment,exact
sx_头重,头重,Abnormality of the head,299033004,abnormal hands,close
sx_头重,头重,Abnormality of the head,13213009,abnormal heart morphology,close
sx_头重,头重,Abnormality of the head,275259005,abnormal pinnae,close
sx_疼痛,疼痛,Pain,68962001,,exact
sx_疼痛,疼痛,Pain,279058007,Pain in limb,exact
sx_麻木不仁,麻木不仁,numbness (loss of sensation),6140007,affective insufficiency,close
sx_牙龈溃烂,牙龈溃烂,Abnormality of the gingiva,449715001,abnormality of the leg,close
sx_牙龈溃烂,牙龈溃烂,Abnormality of the gingiva,275259005,abnormal pinnae,close
sx_牙龈溃烂,牙龈溃烂,Abnormality of the gingiva,19416009,abnormal eye,close
sx_颈项活动受限,颈项活动受限,restricted neck movement,161882006,limitation of neck motion,exact
sx_颈项活动受限,颈项活动受限,restricted neck movement,405947006,limitation of neck motion,exact
sx_痈疮表面光软无头,痈疮表面光软无头,glossy soft headless abscess,299709002,dental abscess,close
sx_痈疮表面光软无头,痈疮表面光软无头,glossy soft headless abscess,27916005,hepatic abscess,close
sx_乏力,乏力,Malaise,13791008,Asthenia,exact
sx_疮疡根脚散漫,疮疡根脚散漫,diffuse-based sore,19648000,diffuse,close
sx_妊娠呕吐,妊娠呕吐,Hyperemesis gravidarum,1696002,Hyperemesis gravidarum,exact
sx_产后便秘,产后便秘,Constipation,14760008,Constipation,exact
sx_不欲饮食,不欲饮食,poor appetite,64379006,decreased appetite,exact
sx_声重,声重,heavy (nasal) voice,34527004,hypophonia,close
sx_声重,声重,heavy (nasal) voice,8614008,hypophonia,close
sx_睾丸表面光滑,睾丸表面光滑,smooth testicular surface,126900000,testicular cancer,close
sx_睾丸表面光滑,睾丸表面光滑,smooth testicular surface,9491003,atrophy of dorsum of tongue,close
sx_声音高亢,声音高亢,high-pitched voice,51406002,abnormally high pitched voice,exact
sx_小儿言语迟缓,小儿言语迟缓,delayed speech in children,229721007,deficiency of speech development,close
sx_小儿言语迟缓,小儿言语迟缓,delayed speech in children,29164008,deficiency of speech development,close
sx_小儿言语迟缓,小儿言语迟缓,delayed speech in children,62415009,deficiency of speech development,close
sx_驼背,驼背,Kyphosis,414564002,gibbus deformity,exact
sx_驼背,驼背,Kyphosis,298393001,cervical kyphosis,close
sx_驼背,驼背,Kyphosis,53406005,calve disease,close
sx_鼻痒,鼻痒,Abnormality of the nose,128274005,abnormality of the nose,exact
sx_鼻痒,鼻痒,Abnormality of the nose,72089000,abnormality of the nose,exact
sx_鼻痒,鼻痒,Abnormality of the nose,298390003,abnormality of the neck,close
sx_目痛,目痛,Ocular pain,409667008,Eye pain,exact
sx_头发易折断,头发易折断,easily broken hair,25159003,brittle hair,close
sx_眼睑肿核,眼睑肿核,swollen nodule of the eyelid (chalazion),248514008,cyst of the eyelid,close
sx_眼睑肿核,眼睑肿核,swollen nodule of the eyelid (chalazion),301913002,cyst of the eyelid,close
sx_眼睑肿核,眼睑肿核,swollen nodule of the eyelid (chalazion),46210008,cyst of the eyelid,close
sx_呕吐,呕吐,Vomiting,422400008,Vomiting,exact
sx_体毛干枯,体毛干枯,Brittle hair,25159003,brittle hair,exact
sx_牙龈硬肿,牙龈硬肿,hard swollen gums,66383009,gingival inflammation,close
sx_喜食异物,喜食异物,pica (craving for foreign objects),14077003,pica,exact
sx_背痛,背痛,Back pain,161891005,Back pain,exact
sx_吞咽不利,吞咽不利,difficulty swallowing,40739000,deglutition disorder,exact
sx_吞咽不利,吞咽不利,difficulty swallowing,288939007,deglutition disorder,exact
sx_皮肤紫斑,皮肤紫斑,Skin purpura,12393003,blood spots,close
sx_皮肤紫斑,皮肤紫斑,Skin purpura,387778001,blood spots,close
sx_皮肤紫斑,皮肤紫斑,Skin purpura,423902002,blood spots,close
sx_流热泪,流热泪,hot tearing,193982009,epiphora,close
sx_流热泪,流热泪,hot tearing,418035005,epiphora,close
sx_失音,失音,Loss of voice,441913003,aphonia,exact
sx_失音,失音,Loss of voice,44564008,aphonia,exact
sx_呼吸急促,呼吸急促,Tachypnea,271823003,increased respiratory rate or depth of breathing,exact
sx_呼吸急促,呼吸急促,Tachypnea,68978004,hyperventilation,exact
sx_囟门早闭,囟门早闭,premature closure of fontanelle,1667003,early closure of the bregma sutures,exact
sx_囟门早闭,囟门早闭,premature closure of fontanelle,57219006,cranial suture synostosis,exact
sx_囟门早闭,囟门早闭,premature closure of fontanelle,82779003,broad late closing cranial sutures,close
sx_牙龈暗红,牙龈暗红,dark-red gums,66383009,gingival inflammation,close
sx_牙龈暗红,牙龈暗红,dark-red gums,235038002,dark color of gums,close
