# mapping_set_id: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology/mappings/TCM-SO-HPO.sssom.tsv
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_provider: https://github.com/Pinellia7ternata/TCM-Symptom-Ontology
# mapping_date: 2026-09-17
# creator_id: https://github.com/Pinellia7ternata
# mapping_tool: manual expert curation after lexical/semantic pre-screening
# object_source: The Human Phenotype Ontology (release 2021)
# comment_type
# comment: Subject classes are TCM Symptom Ontology (TCM-SO, release v4.10) symptom classes; predicate and object identify the cross-terminology alignment.
# curie_map:
#   TCM-SO: http://OntoTCM.org.cn/ontologies/tcm_v38/f#
#   HP: http://purl.obolibrary.org/obo/HP_
#   SNOMEDCT: http://snomed.info/id/
#   ICD11: https://icd.who.int/browse11/l-m/en#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	curation_status
TCM-SO:sx_尿血棕红	brownish-red hematuria	skos:closeMatch	HP:0000790		semapv:ManualMappingCuration	under_review
TCM-SO:sx_间歇性鼻塞	intermittent nasal obstruction	skos:closeMatch	HP:0031796		semapv:ManualMappingCuration	
TCM-SO:sx_间歇性鼻塞	intermittent nasal obstruction	skos:closeMatch	HP:0004796		semapv:ManualMappingCuration	
TCM-SO:sx_尿中带血丝	blood streaks in urine	skos:closeMatch	HP:0000790		semapv:ManualMappingCuration	
TCM-SO:sx_指纹增粗	thickened finger venules	skos:closeMatch	HP:0034570		semapv:ManualMappingCuration	
TCM-SO:sx_夜尿多	nocturia (frequent night urination)	skos:exactMatch	HP:0000017		semapv:ManualMappingCuration	
TCM-SO:sx_疮面痛觉减退	decreased pain sensation of sore surface	skos:closeMatch	HP:0007328		semapv:ManualMappingCuration	
TCM-SO:sx_头大	macrocephaly	skos:exactMatch	HP:0000256		semapv:ManualMappingCuration	
TCM-SO:sx_头大	macrocephaly	skos:closeMatch	HP:0004481		semapv:ManualMappingCuration	
TCM-SO:sx_头大	macrocephaly	skos:closeMatch	HP:0004482		semapv:ManualMappingCuration	
TCM-SO:sx_鼻端色白	White tip-of-nose	skos:closeMatch	HP:0000455		semapv:ManualMappingCuration	
TCM-SO:sx_头胀	head distension	skos:closeMatch	HP:0002181		semapv:ManualMappingCuration	under_review
TCM-SO:sx_颈细	thin neck	skos:closeMatch	HP:0035007		semapv:ManualMappingCuration	
TCM-SO:sx_结喉一侧漫肿	diffuse swelling on one side of laryngeal prominence	skos:closeMatch	HP:0003405		semapv:ManualMappingCuration	
TCM-SO:sx_呃逆频作	frequent hiccups	skos:closeMatch	HP:0100247		semapv:ManualMappingCuration	
TCM-SO:sx_耳鸣	Tinnitus	skos:exactMatch	HP:0000360		semapv:ManualMappingCuration	
TCM-SO:sx_舌出血	Bleeding tongue	skos:closeMatch	HP:0040184		semapv:ManualMappingCuration	
TCM-SO:sx_牙齿焦黑	burnt-black teeth	skos:closeMatch	HP:0011072		semapv:ManualMappingCuration	
TCM-SO:sx_臂部生痈	arm abscess	skos:closeMatch	HP:0025615		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤感觉过敏	Skin hyperesthesia	skos:closeMatch	HP:0100963		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤感觉过敏	Skin hyperesthesia	skos:closeMatch	HP:5200058		semapv:ManualMappingCuration	
TCM-SO:sx_齿眼肿	swollen gum margin	skos:closeMatch	HP:0031244		semapv:ManualMappingCuration	under_review
TCM-SO:sx_悬痈	uvula abscess (xuanyong)	skos:closeMatch	HP:0033587		semapv:ManualMappingCuration	
TCM-SO:sx_颈生痈	neck abscess	skos:closeMatch	HP:6000288		semapv:ManualMappingCuration	
TCM-SO:sx_谵语	Delirium	skos:closeMatch	HP:0031258		semapv:ManualMappingCuration	
TCM-SO:sx_头发结穗	tufted hair	skos:closeMatch	HP:0031283		semapv:ManualMappingCuration	
TCM-SO:sx_妊娠水肿	edema during pregnancy	skos:closeMatch	HP:0200148		semapv:ManualMappingCuration	
TCM-SO:sx_带下夹血	blood-streaked vaginal discharge	skos:closeMatch	HP:0034269		semapv:ManualMappingCuration	
TCM-SO:sx_口淡	Hypogeusia	skos:exactMatch	HP:0000224		semapv:ManualMappingCuration	
TCM-SO:sx_失眠	Insomnia	skos:exactMatch	HP:0100785		semapv:ManualMappingCuration	
TCM-SO:sx_腰痛	Low back pain	skos:exactMatch	HP:0003419		semapv:ManualMappingCuration	
TCM-SO:sx_阴囊溃破	scrotal ulceration	skos:closeMatch	HP:0006121		semapv:ManualMappingCuration	
TCM-SO:sx_肉芽红活	red vital granulation tissue	skos:closeMatch	HP:6000956		semapv:ManualMappingCuration	
TCM-SO:sx_风团色红	Red wheal	skos:closeMatch	HP:0002297		semapv:ManualMappingCuration	
TCM-SO:sx_鼻端色赤	Red tip-of-nose	skos:closeMatch	HP:0011831		semapv:ManualMappingCuration	under_review
TCM-SO:sx_视力下降	decreased vision	skos:closeMatch	HP:0007663		semapv:ManualMappingCuration	
TCM-SO:sx_视物易色	disturbed color vision	skos:exactMatch	HP:0000551		semapv:ManualMappingCuration	
TCM-SO:sx_咽干	Abnormality of the pharynx	skos:closeMatch	HP:0000600		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤皲裂	Skin fissuring	skos:exactMatch	HP:0031057		semapv:ManualMappingCuration	
TCM-SO:sx_睑内结石	conjunctival concretion (lid stone)	skos:closeMatch	HP:0009903		semapv:ManualMappingCuration	
TCM-SO:sx_反酸	Oral lichenoid lesion	skos:closeMatch	HP:0031453		semapv:ManualMappingCuration	
TCM-SO:sx_舌謇语涩	stiff tongue with sluggish speech	skos:closeMatch	HP:0031373		semapv:ManualMappingCuration	
TCM-SO:sx_肿疡作痒	itching of the abscess swelling	skos:closeMatch	HP:0031244		semapv:ManualMappingCuration	
TCM-SO:sx_恶寒	Chills	skos:closeMatch	HP:0025143		semapv:ManualMappingCuration	under_review
TCM-SO:sx_尿频	Frequent urination	skos:exactMatch	HP:0000109		semapv:ManualMappingCuration	
TCM-SO:sx_尿频	Frequent urination	skos:exactMatch	HP:0100515		semapv:ManualMappingCuration	
TCM-SO:sx_熟声如雷	snoring like thunder	skos:closeMatch	HP:0025372		semapv:ManualMappingCuration	
TCM-SO:sx_心忡	palpitations	skos:closeMatch	HP:0001676		semapv:ManualMappingCuration	
TCM-SO:sx_龟头溃烂	festering glans penis	skos:closeMatch	HP:0034438		semapv:ManualMappingCuration	
TCM-SO:sx_趾甲增厚	thickened toenails	skos:closeMatch	HP:0001805		semapv:ManualMappingCuration	
TCM-SO:sx_咳声重浊	Abnormally low-pitched voice	skos:closeMatch	HP:0010300		semapv:ManualMappingCuration	under_review
TCM-SO:sx_口僻	deviated mouth	skos:closeMatch	HP:0009941		semapv:ManualMappingCuration	
TCM-SO:sx_耳痛	Ear pain	skos:exactMatch	HP:0030766		semapv:ManualMappingCuration	
TCM-SO:sx_视近物不清	blurred near vision	skos:closeMatch	HP:0000622		semapv:ManualMappingCuration	
TCM-SO:sx_惊悸	Palpitations	skos:closeMatch	HP:0001962		semapv:ManualMappingCuration	
TCM-SO:sx_皮肤色紫	Purple skin	skos:closeMatch	HP:0040322		semapv:ManualMappingCuration	
TCM-SO:sx_月经量多	Menorrhagia	skos:exactMatch	HP:0000132		semapv:ManualMappingCuration	
TCM-SO:sx_肛门皮肤溃疡	Skin ulcer	skos:exactMatch	HP:0200042		semapv:ManualMappingCuration	
TCM-SO:sx_便意频频	frequent urge to defecate	skos:closeMatch	HP:0032765		semapv:ManualMappingCuration	
TCM-SO:sx_便意频频	frequent urge to defecate	skos:closeMatch	HP:0032781		semapv:ManualMappingCuration	
TCM-SO:sx_便意频频	frequent urge to defecate	skos:closeMatch	HP:0032774		semapv:ManualMappingCuration	
TCM-SO:sx_小便不利	Dysuria	skos:exactMatch	HP:0100518		semapv:ManualMappingCuration	
TCM-SO:sx_上臂外突	outward protrusion of the upper arm	skos:closeMatch	HP:6001139		semapv:ManualMappingCuration	
TCM-SO:sx_上臂外突	outward protrusion of the upper arm	skos:closeMatch	HP:0001454		semapv:ManualMappingCuration	
TCM-SO:sx_皮疹色白	White rash	skos:closeMatch	HP:0000988		semapv:ManualMappingCuration	
TCM-SO:sx_肛门周围湿疹	perianal eczema	skos:closeMatch	HP:0000964		semapv:ManualMappingCuration	
TCM-SO:sx_肛门周围湿疹	perianal eczema	skos:closeMatch	HP:0011131		semapv:ManualMappingCuration	
TCM-SO:sx_目赤	Red eye	skos:exactMatch	HP:0025337		semapv:ManualMappingCuration	
TCM-SO:sx_下唇肿胀	Lower-lip swelling	skos:closeMatch	HP:0031244		semapv:ManualMappingCuration	
