symptom_localname,symptom_zh,symptom_en,icd11_id,icd11_term,mapType
sx_便稀如水,便稀如水,watery stool,XE484,Stool,close
sx_环口色青,环口色青,Bluish perioral-region,XA1A48,Perioral region,close
sx_大便硬结,大便硬结,hard stool,XE484,Stool,close
sx_视远物不清,视远物不清,blurred distant vision,SF70,Spleen qi deficiency pattern (TM1),close
sx_视远物不清,视远物不清,blurred distant vision,SF60,Heart qi deficiency pattern (TM1),close
sx_视远物不清,视远物不清,blurred distant vision,SF54,Liver blood deficiency pattern (TM1),close
sx_异物入耳,异物入耳,foreign body entering the ear,ND71,Foreign body in ear,close
sx_异物入耳,异物入耳,foreign body entering the ear,ND7Z,"Effects of foreign body entering through natural orifice, unspecified",close
sx_颅缝开解,颅缝开解,separation of cranial sutures,KD31,Wide cranial sutures of newborn,close
sx_尿短黄,尿短黄,scanty dark-yellow urine,SE72,Heat pattern (TM1),close
sx_便血,便血,Hematochezia,ME24.A,Digestive tract haemorrhage,exact
sx_风团瘙痒,风团瘙痒,itchy wheals,SF9F,Bladder heat accumulation pattern (TM1),close
sx_喷嚏,喷嚏,Sneeze,MD11.9,Sneezing,exact
sx_多疑,多疑,suspiciousness,MB26.9,Suspiciousness,exact
sx_睑板色淡,睑板色淡,Pale tarsal-plate,SF00,Blood deficiency pattern (TM1),close
sx_睑板色淡,睑板色淡,Pale tarsal-plate,SR1T,Blood deficiency pattern (TM2),close
sx_重痛,重痛,Heavy pain,SF01,Blood stasis pattern (TM1),close
sx_结节色红,结节色红,Red nodule,SK6T,Phlyctenular nodule disorder (TM2),close
sx_尿少,尿少,oliguria,SM8E,Oliguria disorder (TM2),close
sx_尿少,尿少,oliguria,MF51,Anuria or oliguria,close
sx_尿少,尿少,oliguria,SE72,Heat pattern (TM1),close
sx_肩痛,肩痛,Shoulder pain,FB56.2,Shoulder lesion,close
sx_哮鸣,哮鸣,Wheezing,SA81,Wheezing disorder (TM1),close
sx_哮鸣,哮鸣,Wheezing,MD11.C,Wheezing,exact
sx_哮鸣,哮鸣,Wheezing,SF85,Cold phlegm obstructing the lung pattern (TM1),close
sx_大便臭如败卵,大便臭如败卵,stool smelling like rotten eggs,XE484,Stool,close
sx_时时泛恶,时时泛恶,frequent nausea,MD90.0,Nausea,close
sx_胀痛,胀痛,Distending pain,SF57,Liver qi stagnation pattern (TM1),close
sx_胀痛,胀痛,Distending pain,SE91,Qi stagnation pattern (TM1),close
sx_经血如崩,经血如崩,flooding menstrual bleeding,GA20.51,Light menstrual bleeding,close
sx_脓色黑,脓色黑,Black pus,XM08L6,Afghanistan black,close
sx_脓色黑,脓色黑,Black pus,XM2WE8,Mustard black,close
sx_脓色黑,脓色黑,Black pus,XM5733,Black pepper,close
sx_体毛脱落,体毛脱落,loss of body hair,XA1WH2,Body hair,close
sx_阴茎疼痛,阴茎疼痛,Pain in penis,MF40.00,Pain in penis,exact
sx_鳞屑不易脱落,鳞屑不易脱落,scales difficult to detach,XE2JZ,Difficult to insert,close
sx_指甲色黄,指甲色黄,Yellow nail,EE11.1,Yellow nail syndrome,close
sx_指甲色黄,指甲色黄,Yellow nail,XA6Q52,Nail,close
sx_眵多,眵多,profuse eye discharge,MC14,Eye discharge,close
sx_眵多,眵多,profuse eye discharge,XE268,Electro-static discharge,close
sx_地图舌,地图舌,Geographic tongue,DA03.1,Geographic tongue,exact
sx_胸廓扁平,胸廓扁平,Thoracic cage flatness,SF93,Kidney yin deficiency pattern (TM1),close
sx_大便清冷,大便清冷,clear and cold stool,XE484,Stool,close
sx_大便清冷,大便清冷,clear and cold stool,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_尿多,尿多,polyuria,SM8D,Polyuria disorder (TM2),close
sx_尿多,尿多,polyuria,MF55,Polyuria,exact
sx_阴囊水肿,阴囊水肿,Edema,MG29,Oedema,exact
sx_指_趾紫黑,指/趾紫黑,Purplish-black fingers/toes,XM08L6,Afghanistan black,close
sx_疤痕色紫,疤痕色紫,Purple scar,SF01,Blood stasis pattern (TM1),close
sx_舌色猪黑,舌色猪黑,pork-liver-dark tongue,XE9BL,Pork,close
sx_舌色猪黑,舌色猪黑,pork-liver-dark tongue,DA03.1,Geographic tongue,close
sx_瞳神不圆,瞳神不圆,irregular pupil,LA11.60,Irregular pupil of the eye,close
sx_视大为小,视大为小,micropsia,SC23,Uterine mass disorder (TM1),close
sx_多食易饥,多食易饥,polyphagia with easy hunger,SF7E,Stomach yin deficiency pattern (TM1),close
sx_泄泻,泄泻,Diarrhea,SA55,Diarrhea disorder (TM1),close
sx_泄泻,泄泻,Diarrhea,XE484,Stool,close
sx_脓出痛剧,脓出痛剧,severe pain on pus discharge,XS2E,Severe pain,close
sx_结节小,结节小,Small nodule,SF01,Blood stasis pattern (TM1),close
sx_带下粘稠,带下粘稠,sticky vaginal discharge,MF3A,Vaginal discharge,close
sx_头小,头小,microcephaly,LA05.0,Microcephaly,exact
sx_呵欠声声,呵欠声声,repeated yawning,MD11.D,Yawning,close
sx_呵欠声声,呵欠声声,repeated yawning,SE91,Qi stagnation pattern (TM1),close
sx_流泪,流泪,Reflex tearing,9A61,Tearing,exact
sx_瞳神积血,瞳神积血,blood accumulation in the pupil (hyphema),SF9E,Blood accumulation in the bladder pattern (TM1),close
sx_瞳神积血,瞳神积血,blood accumulation in the pupil (hyphema),SF99,Blood and heat accumulation in the uterus pattern (TM1),close
sx_瞳神积血,瞳神积血,blood accumulation in the pupil (hyphema),SF86,Turbid phlegm accumulation in the lung pattern (TM1),close
sx_心悸,心悸,Palpitations,MC81.3,Palpitations,exact
sx_结核累累,结核累累,numerous nodules (scrofula),SF93,Kidney yin deficiency pattern (TM1),close
sx_结核累累,结核累累,numerous nodules (scrofula),SF82,Lung and kidney yin deficiency pattern (TM1),close
sx_经前面部粉刺,经前面部粉刺,premenstrual facial acne,SF93,Kidney yin deficiency pattern (TM1),close
sx_经前面部粉刺,经前面部粉刺,premenstrual facial acne,SF82,Lung and kidney yin deficiency pattern (TM1),close
sx_经前面部粉刺,经前面部粉刺,premenstrual facial acne,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_肉芽晦暗,肉芽晦暗,dull dark granulation tissue,XA0UK0,Bone tissue,close
sx_皮肤粗糙,皮肤粗糙,Skin roughness,SF55,Liver depression and blood stasis pattern (TM1),close
sx_皮肤粗糙,皮肤粗糙,Skin roughness,SF01,Blood stasis pattern (TM1),close
sx_疮疡溃后如蜂窝,疮疡溃后如蜂窝,honeycomb-like sore after ulceration,DA01.10,Oral aphthae or aphtha-like ulceration,close
sx_皮肤抓痕,皮肤抓痕,Skin-picking,SF02,Blood heat pattern (TM1),close
sx_指骨节脱落,指骨节脱落,loss of finger joints,XE992,Loss of data,close
sx_指骨节脱落,指骨节脱落,loss of finger joints,XE0Z9,Loss of osseointegration,close
sx_肿块推之不动,肿块推之不动,immobile mass,SF01,Blood stasis pattern (TM1),close
sx_怔忡,怔忡,Palpitations,MC81.3,Palpitations,exact
sx_喷嚏频作,喷嚏频作,frequent sneezing,MD11.A,Sneezing,close
sx_神昏,神昏,Coma,MB20.1,Coma,close
sx_瘙痒,瘙痒,Pruritus,EC90,Pruritus,exact
sx_脐糜烂,脐糜烂,umbilical erosion,DD53,Umbilical hernia,close
sx_脐糜烂,脐糜烂,umbilical erosion,XA0VZ0,Umbilical artery,close
sx_脓腐旁串,脓腐旁串,sloughing pus tunneling sideways,XM6J14,"Protectant, skin",close
sx_脓腐旁串,脓腐旁串,sloughing pus tunneling sideways,XM3B54,Arterolane and Piperaquine,close
sx_脓腐旁串,脓腐旁串,sloughing pus tunneling sideways,XM99F8,Insulins and analogues,close
sx_经行眩晕,经行眩晕,dizziness during menstruation,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_食入腹胀,食入腹胀,Abdominal distention,ME09,Abdominal distension,exact
sx_皮肤感觉消失,皮肤感觉消失,Skin anesthesia (loss of sensation),XM0FJ3,Anesthesia regional,close
sx_皮肤感觉消失,皮肤感觉消失,Skin anesthesia (loss of sensation),MB40.3,Anaesthesia of skin,close
sx_皮肤感觉消失,皮肤感觉消失,Skin anesthesia (loss of sensation),XM9RW1,Anesthesia muscle relaxation,close
sx_耳鲤,耳鲤,ear sore (possibly 耳疔),LA21.3,Misshapen ear,close
sx_耳鲤,耳鲤,ear sore (possibly 耳疔),LA21.1,Protruding ear,close
sx_耳鲤,耳鲤,ear sore (possibly 耳疔),AA41.0,Cauliflower ear,close
sx_少腹痛,少腹痛,Abdominal pain,SM33,Abdominal pain disorder (TM2),close
sx_少腹痛,少腹痛,Abdominal pain,DD91.4,Functional abdominal pain syndrome,close
sx_少腹痛,少腹痛,Abdominal pain,SC10,Puerperal abdominal pain disorder (TM1),close
sx_肛门松弛,肛门松弛,anal relaxation,SE93,Qi sinking pattern (TM1),close
sx_鼻柱塌陷,鼻柱塌陷,collapsed nasal columella,XA4S17,Columella,close
sx_鼻柱塌陷,鼻柱塌陷,collapsed nasal columella,XA8817,Nasal turbinate,close
sx_带下杂见五色,带下杂见五色,vaginal discharge of five intermingled colors,MF3A,Vaginal discharge,exact
sx_疤痕高突,疤痕高突,raised hypertrophic scar,EE60.1,Hypertrophic scar,close
sx_寒战,寒战,Chills,MG21,Chills,exact
sx_足躁水肿,足躁水肿,Ankle edema,MG29.00,Ankle oedema,close
sx_水泻,水泻,Watery diarrhea,XE484,Stool,close
sx_言语不清,言语不清,Slurred speech,MB23.L,Pressured speech,close
sx_言语不清,言语不清,Slurred speech,MA81,Speech dysfluency,close
sx_经断复行,经断复行,postmenopausal bleeding,GA30.1,Postmenopausal uterine bleeding,close
sx_肛门部包块,肛门部包块,anal mass,DB70.00,Anal abscess,close
sx_耳廓枯槁,耳廓枯槁,withered auricle,LA24,Accessory auricle,close
sx_耳廓枯槁,耳廓枯槁,withered auricle,NA0B,Injury of the auricle,close
sx_耳廓枯槁,耳廓枯槁,withered auricle,XA9E26,Skin of auricle,close
sx_睫毛稀疏,睫毛稀疏,Sparse eyelashes,XA1RK2,Eyelashes,close
sx_人中色青,人中色青,Bluish philtrum,XA5LY8,Philtrum,close
sx_人中色青,人中色青,Bluish philtrum,SF01,Blood stasis pattern (TM1),close
sx_睥急紧小,睥急紧小,tight narrow eyelid fissure (blepharophimosis),SF70,Spleen qi deficiency pattern (TM1),close
sx_得气行痛减,得气行痛减,pain relieved by qi-moving (massage/exercise),XE0KF,Moving ramp,close
sx_尿血淡红,尿血淡红,light-red hematuria,SF90,Kidney qi deficiency pattern (TM1),close
sx_尿血淡红,尿血淡红,light-red hematuria,SF93,Kidney yin deficiency pattern (TM1),close
sx_前臂内侧红丝,前臂内侧红丝,red threads on inner forearm (acute lymphangitis),XM3R78,Lebanese red,close
sx_皮肤流滋,皮肤流滋,Skin oozing of serous fluid,XA2L90,Serous fluid,close
sx_大便先干后溏,大便先干后溏,stool dry at first then loose,XE484,Stool,close
sx_便血鲜红,便血鲜红,bright-red blood in stool,ME24.A6,Positive occult blood in stool,close
sx_便血鲜红,便血鲜红,bright-red blood in stool,XE484,Stool,close
sx_腰冷,腰冷,cold lower back,NB50.1,Contusion of lower back or pelvis,close
sx_腰冷,腰冷,cold lower back,NB50.0,Abrasion of lower back or pelvis,close
sx_口疮,口疮,Aphthous ulcer,DA01.10,Oral ulcer,exact
sx_带下如涕,带下如涕,snivel-like vaginal discharge,MF3A,Vaginal discharge,close
sx_口中苹果气,口中苹果气,apple-like odor in mouth,SF93,Kidney yin deficiency pattern (TM1),close
sx_口中苹果气,口中苹果气,apple-like odor in mouth,SF7E,Stomach yin deficiency pattern (TM1),close
sx_渴喜饮热,渴喜饮热,thirst with preference for hot drinks,SF97,Kidney yang deficiency pattern (TM1),close
sx_渴喜饮热,渴喜饮热,thirst with preference for hot drinks,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_舌紫,舌紫,Tongue pain,DA01,Gingival and tongue disorders,close
sx_包皮过长,包皮过长,redundant prepuce,GB05.0,Redundant prepuce,exact
sx_包皮过长,包皮过长,redundant prepuce,GB05.Z,"Redundant prepuce, phimosis or paraphimosis, unspecified",close
sx_包皮过长,包皮过长,redundant prepuce,GB05.4,Adherent prepuce,close
sx_上腭腐溃,上腭腐溃,festering palate,XA8HL5,Soft palate,close
sx_上腭腐溃,上腭腐溃,festering palate,XA4527,Hard palate,close
sx_太溪脉减弱,太溪脉减弱,weakened Taixi (KI3) pulse,XD8QN4,"Pulse Oximeters, Tabletop",close
sx_耳脓色白,耳脓色白,White ear pus,XM6AD6,Egg white,close
sx_耳脓色白,耳脓色白,White ear pus,LA21.3,Misshapen ear,close
sx_小儿蚀齿,小儿蚀齿,dental erosion in children,DA08.0,Dental caries,close
sx_尿血棕红,尿血棕红,brownish-red hematuria,SF90,Kidney qi deficiency pattern (TM1),close
sx_间歇性鼻塞,间歇性鼻塞,intermittent nasal obstruction,XT5G,Intermittent,close
sx_喉痒,喉痒,itching of throat,NA20.1,Contusion of throat,close
sx_皮疹结血痴,皮疹结血痴,blood-crusted rash,XM2NV9,Blood (derivatives) (natural) (plasma) (whole),close
sx_皮疹结血痴,皮疹结血痴,blood-crusted rash,ME66.6Z,"Rash, unspecified",close
sx_皮疹结血痴,皮疹结血痴,blood-crusted rash,ME66.6Y,Other specified rash,close
sx_疮面痛觉减退,疮面痛觉减退,decreased pain sensation of sore surface,VE20,Sensation of pain [BMDS],close
sx_疮面痛觉减退,疮面痛觉减退,decreased pain sensation of sore surface,VV12,Sensation of pain,close
sx_脓似粉浆,脓似粉浆,starch-paste-like pus,SF62,Dual deficiency of heart qi and blood pattern (TM1),close
sx_头大,头大,macrocephaly,LB70.3,Macrocephaly,exact
sx_鼻端色白,鼻端色白,White tip-of-nose,XA04T9,Skin of nose,close
sx_耳脓清稀,耳脓清稀,Ear pus thin and clear,SF7M,Spleen and kidney yang deficiency pattern (TM1),close
sx_结喉一侧漫肿,结喉一侧漫肿,diffuse swelling on one side of laryngeal prominence,XA14Y9,Side of toe,close
sx_耳鸣,耳鸣,Tinnitus,MC41,Tinnitus,exact
sx_牙齿焦黑,牙齿焦黑,burnt-black teeth,XM08L6,Afghanistan black,close
sx_牙齿焦黑,牙齿焦黑,burnt-black teeth,DA07.7,Embedded teeth,close
sx_齿眼肿,齿眼肿,swollen gum margin,XM6DW9,Guar gum (medicinal),close
sx_悬痈,悬痈,uvula abscess (xuanyong),XA2993,Uvula,close
sx_水疱中央凹陷,水疱中央凹陷,centrally depressed blisters,MB24.5,Depressed mood,close
sx_谵语,谵语,Delirium,SQ00,Delirium disorder (TM2),close
sx_夜啼,夜啼,night crying (in infants),SE36,Night crying disorder (TM1),close
sx_头发结穗,头发结穗,tufted hair,SF7C,Stomach qi deficiency pattern (TM1),close
sx_头发结穗,头发结穗,tufted hair,SE90,Qi deficiency pattern (TM1),close
sx_吞咽困难,吞咽困难,Dysphagia,MD93,Dysphagia,exact
sx_吞咽困难,吞咽困难,Dysphagia,SA50,Dysphagia disorder (TM1),close
sx_妊娠水肿,妊娠水肿,edema during pregnancy,XT0S,Pregnancy,close
sx_带下夹血,带下夹血,blood-streaked vaginal discharge,MF3A,Vaginal discharge,close
sx_口淡,口淡,Hypogeusia,SF7C,Stomach qi deficiency pattern (TM1),close
sx_肛门脱出物鲜红,肛门脱出物鲜红,bright-red anal prolapse,DB53,Anal prolapse,close
sx_肛门脱出物鲜红,肛门脱出物鲜红,bright-red anal prolapse,SE93,Qi sinking pattern (TM1),close
sx_下肢沉重,下肢沉重,heaviness of lower limbs,BD70.0,Superficial thrombophlebitis of lower limbs,close
sx_唇色青黑,唇色青黑,Bluish black lip,XM08L6,Afghanistan black,close
sx_失眠,失眠,Insomnia,7A00,Insomnia disorders,exact
sx_腰痛,腰痛,Low back pain,ME84.2,Low back pain,exact
sx_皮疹结脓痴,皮疹结脓痴,pus-crusted rash,ME66.6Z,"Rash, unspecified",close
sx_皮疹结脓痴,皮疹结脓痴,pus-crusted rash,ME66.6Y,Other specified rash,close
sx_寒热往来_入暮尤剧,寒热往来，入暮尤剧,"alternating chills and fever, worse at dusk",SD93,Alternating fever and chills disorder (TM1),close
sx_阴囊溃破,阴囊溃破,scrotal ulceration,MF40.20,Acute scrotal pain,close
sx_精索坚硬,精索坚硬,hard spermatic cord,XA5KK7,Spermatic Vein,close
sx_咳嗽频作,咳嗽频作,Frequent cough,MD12,Cough,close
sx_鼻端色赤,鼻端色赤,Red tip-of-nose,XA3057,Supratip of nose,close
sx_鼻端色赤,鼻端色赤,Red tip-of-nose,XA04T9,Skin of nose,close
sx_视物易色,视物易色,disturbed color vision,SF57,Liver qi stagnation pattern (TM1),close
sx_大便干燥,大便干燥,dry stool,SR8C,Dry stool pattern (TM2),close
sx_大便干燥,大便干燥,dry stool,XE484,Stool,close
sx_咽干,咽干,Abnormality of the pharynx,MD36.0,Pharyngitis,close
sx_皮肤皲裂,皮肤皲裂,Skin fissuring,SF04,Blood dryness pattern (TM1),close
sx_反酸,反酸,Oral lichenoid lesion,DA22,Gastro-oesophageal reflux disease,close
sx_舌謇语涩,舌謇语涩,stiff tongue with sluggish speech,MA81,Speech dysfluency,close
sx_舌謇语涩,舌謇语涩,stiff tongue with sluggish speech,MB23.L,Pressured speech,close
sx_舌謇语涩,舌謇语涩,stiff tongue with sluggish speech,DA03.1,Geographic tongue,close
sx_恶寒,恶寒,Chills,MG26,Fever of other or unknown origin,close
sx_尿频,尿频,Frequent urination,MF30.Z,Urinary frequency,exact
sx_鳞屑色黑,鳞屑色黑,Black scale,XM08L6,Afghanistan black,close
sx_熟声如雷,熟声如雷,snoring like thunder,XH0H23,Burkitt-like lymphoma,close
sx_熟声如雷,熟声如雷,snoring like thunder,DA01.10,Oral aphthae or aphtha-like ulceration,close
sx_心忡,心忡,palpitations,MC81.2,Palpitations,exact
sx_咳声重浊,咳声重浊,Abnormally low-pitched voice,SF86,Turbid phlegm accumulation in the lung pattern (TM1),close
sx_咳声重浊,咳声重浊,Abnormally low-pitched voice,SF8C,Wind-cold fettering the lung pattern (TM1),close
sx_咳声重浊,咳声重浊,Abnormally low-pitched voice,SF85,Cold phlegm obstructing the lung pattern (TM1),close
sx_水疱枯瘪,水疱枯瘪,withered shrunken blisters,ME66.6Z,"Rash, unspecified",close
sx_水疱枯瘪,水疱枯瘪,withered shrunken blisters,ME66.6Y,Other specified rash,close
sx_头痒,头痒,Head itching,SF04,Blood dryness pattern (TM1),close
sx_耳痛,耳痛,Ear pain,MC92.Y,Otalgia,exact
sx_视近物不清,视近物不清,blurred near vision,9D90.7,Near vision impairment,close
sx_惊悸,惊悸,Palpitations,MC81.2,Palpitations,exact
sx_皮肤色紫,皮肤色紫,Purple skin,SF01,Blood stasis pattern (TM1),close
sx_皮肤色紫,皮肤色紫,Purple skin,SF55,Liver depression and blood stasis pattern (TM1),close
sx_月经量多,月经量多,Menorrhagia,GA20.50,Heavy menstrual bleeding,exact
sx_咳声嘶哑,咳声嘶哑,hoarse cough,MD12,Cough,close
sx_咳声嘶哑,咳声嘶哑,hoarse cough,SF8A,Wind-heat invading the lung pattern (TM1),close
sx_肛门皮肤溃疡,肛门皮肤溃疡,Skin ulcer,ME63,Skin ulcer,exact
sx_小便不利,小便不利,Dysuria,MF50.7,Dysuria,exact
sx_小便不利,小便不利,Dysuria,SM87,Dysuria disorder (TM2),close
sx_颌面疼痛,颌面疼痛,Maxillofacial-region pain,DA08.0,Dental caries,close
sx_腿酸,腿酸,sour legs,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_皮疹色白,皮疹色白,White rash,XM3DL1,White ash,close
sx_目赤,目赤,Red eye,9A61,Red eye,exact
sx_壮热,壮热,Malignant hyperthermia,8C78,Malignant hyperthermia or hyperpyrexia,close
sx_壮热,壮热,Malignant hyperthermia,NE86,Malignant hyperthermia due to anaesthesia,close
